"id","perm1_concerned","perm1_necessary","perm1_understand","perm2_concerned","perm2_necessary","perm2_understand","perm3_concerned","perm3_necessary","perm3_understand","perm4_concerned","perm4_necessary","perm4_understand","perm5_concerned","perm5_necessary","perm5_understand","perm6_concerned","perm6_necessary","perm6_understand"
"189","Slightly concerned","Not necessary","Slightly confident",,,,,,,,,,,,,,,
"190",,,,,,,,,,,,,,,,,,
"191",,,,,,,,,,,,,,,,,,
"183",,,,"Slightly concerned","Slightly necessary","Confident",,,,,,,,,,,,
"184","Not concerned","Slightly necessary","Confident",,,,,,,,,,,,,,,
"185",,,,,,,,,,,,,,,,,,
"186",,,,"Concerned","Not necessary","Not confident",,,,,,,,,,,,
"187",,,,,,,,,,,,,,,,,,
"192","Not concerned","Necessary","Confident",,,,,,,,,,,,,,,
"193",,,,"Not concerned","Moderately necessary","Confident",,,,,,,,,,,,
"194",,,,,,,,,,,,,,,,,,
"198",,,,,,,,,,,,,,,,,,
"199","Not concerned","Very necessary","Very confident",,,,,,,,,,,,,,,
"200",,,,"Slightly concerned","Moderately necessary","Moderately confident",,,,,,,,,,,,
"201",,,,,,,,,,,,,,,,,,
"202","Slightly concerned","Not necessary","Not confident",,,,,,,,,,,,,,,
"203",,,,"Moderately concerned","Not necessary","Not confident",,,,,,,,,,,,
"195",,,,,,,,,,,,,,,,,,
"196","Not concerned","Moderately necessary","Not confident",,,,,,,,,,,,,,,
"197",,,,"Slightly concerned","Slightly necessary","Not confident",,,,,,,,,,,,
"204","Not concerned","Very necessary","Very confident",,,,,,,,,,,,,,,
"205",,,,"Not concerned","Slightly necessary","Very confident",,,,,,,,,,,,
"206",,,,,,,,,,,,,,,,,,
"207",,,,,,,,,,,,,,,,,,
"210",,,,,,,,,,,,,,,,,,
"211",,,,,,,,,,,,,,,,,,
"212","Not concerned","Very necessary","Very confident",,,,,,,,,,,,,,,
"213",,,,"Not concerned","Slightly necessary","Very confident",,,,,,,,,,,,
"208",,,,,,,,,,,,,,,,,,
"209",,,,,,,,,,,,,"Not concerned","Very necessary","Very confident",,,
"216","Moderately concerned","Moderately necessary","Moderately confident",,,,,,,,,,,,,,,
"217",,,,"Concerned","Not necessary","Slightly confident",,,,,,,,,,,,
"218",,,,,,,,,,,,,,,,,,
"219",,,,,,,,,,,,,,,,,,
"220",,,,,,,,,,,,,"Concerned","Not necessary","Moderately confident",,,
"214",,,,,,,,,,,,,,,,,,
"215",,,,,,,,,,,,,,,,,,
"221",,,,,,,,,,,,,,,,,,
"222",,,,,,,,,,,,,,,,,,
"223","Not concerned","Very necessary","Very confident",,,,,,,,,,,,,,,
"224",,,,,,,,,,,,,,,,,,
"225",,,,,,,,,,,,,,,,,,
"227",,,,,,,,,,,,,,,,,,
"233",,,,,,,,,,,,,,,,,,
"234",,,,"Very concerned","Not necessary","Moderately confident",,,,,,,,,,,,
"235","Slightly concerned","Not necessary","Moderately confident",,,,,,,,,,,,,,,
"226",,,,,,,,,,,,,,,,,,
"228",,,,,,,"Not concerned","Necessary","Moderately confident",,,,,,,,,
"229",,,,,,,,,,,,,,,,"Not concerned","Moderately necessary","Confident"
"230",,,,,,,,,,"Slightly concerned","Moderately necessary","Moderately confident",,,,,,
"231","Not concerned","Necessary","Moderately confident",,,,,,,,,,,,,,,
"232",,,,"Moderately concerned","Slightly necessary","Slightly confident",,,,,,,,,,,,
"236",,,,,,,,,,,,,,,,,,
"237",,,,,,,,,,,,,,,,,,
"240","Slightly concerned","Moderately necessary","Confident",,,,,,,,,,,,,,,
"241",,,,"Concerned","Not necessary","Not confident",,,,,,,,,,,,
"242",,,,,,,,,,,,,,,,,,
"238",,,,,,,,,,,,,,,,,,
"239",,,,,,,,,,,,,,,,,,
"243",,,,,,,"Concerned","Moderately necessary","Slightly confident",,,,,,,,,
"244",,,,,,,,,,,,,,,,"Moderately concerned","Slightly necessary","Slightly confident"
"245",,,,,,,,,,"Slightly concerned","Slightly necessary","Moderately confident",,,,,,
"246",,,,,,,,,,,,,,,,,,
"247","Slightly concerned","Moderately necessary","Confident",,,,,,,,,,,,,,,
"248",,,,"Concerned","Slightly necessary","Moderately confident",,,,,,,,,,,,
"249",,,,,,,,,,,,,,,,,,
"254",,,,,,,,,,,,,,,,,,
"255",,,,,,,,,,,,,,,,,,
"250",,,,,,,,,,,,,"Not concerned","Slightly necessary","Not confident",,,
"251",,,,"Moderately concerned","Not necessary","Not confident",,,,,,,,,,,,
"252",,,,,,,,,,,,,,,,,,
"253",,,,,,,,,,,,,,,,,,
"256",,,,,,,,,,,,,"Slightly concerned","Slightly necessary","Not confident",,,
"262",,,,,,,,,,,,,,,,,,
"263",,,,,,,,,,,,,,,,,,
"264",,,,"Concerned","Not necessary","Confident",,,,,,,,,,,,
"265","Concerned","Not necessary","Confident",,,,,,,,,,,,,,,
"266",,,,,,,,,,,,,,,,,,
"267",,,,,,,,,,,,,,,,,,
"268",,,,,,,,,,,,,,,,,,
"269",,,,,,,,,,,,,,,,,,
"270",,,,"Not concerned","Necessary","Confident",,,,,,,,,,,,
"271",,,,,,,,,,,,,,,,,,
"272","Not concerned","Necessary","Confident",,,,,,,,,,,,,,,
"273",,,,,,,,,,,,,,,,,,
"257",,,,,,,"Slightly concerned","Necessary","Confident",,,,,,,,,
"258",,,,,,,,,,,,,,,,"Slightly concerned","Necessary","Confident"
"259",,,,,,,,,,,,,,,,,,
"260","Slightly concerned","Necessary","Confident",,,,,,,,,,,,,,,
"261",,,,,,,,,,"Slightly concerned","Necessary","Confident",,,,,,
"284",,,,,,,,,,,,,"Slightly concerned","Moderately necessary","Moderately confident",,,
"285",,,,,,,,,,,,,,,,,,
"286","Moderately concerned","Slightly necessary","Confident",,,,,,,,,,,,,,,
"277",,,,,,,,,,,,,"Moderately concerned","Slightly necessary","Slightly confident",,,
"274",,,,,,,"Slightly concerned","Very necessary","Very confident",,,,,,,,,
"275","Not concerned","Very necessary","Very confident",,,,,,,,,,,,,,,
"276",,,,,,,,,,,,,,,,,,
"287",,,,,,,,,,,,,,,,,,
"283",,,,,,,,,,,,,"Not concerned","Very necessary","Very confident",,,
"278",,,,,,,"Not concerned","Necessary","Very confident",,,,,,,,,
"279",,,,,,,,,,,,,,,,"Slightly concerned","Slightly necessary","Very confident"
"280",,,,,,,,,,"Moderately concerned","Moderately necessary","Confident",,,,,,
"281","Not concerned","Necessary","Confident",,,,,,,,,,,,,,,
"282",,,,,,,,,,,,,,,,,,
"293",,,,,,,,,,,,,,,,,,
"294",,,,,,,,,,,,,,,,,,
"295",,,,,,,,,,,,,,,,,,
"296",,,,,,,,,,,,,,,,,,
"297",,,,,,,,,,,,,,,,,,
"298",,,,,,,,,,,,,,,,,,
"299",,,,,,,,,,,,,,,,,,
"300",,,,,,,,,,,,,,,,,,
"301",,,,,,,,,,,,,,,,,,
"302","Not concerned","Moderately necessary","Moderately confident",,,,,,,,,,,,,,,
"303",,,,"Not concerned","Moderately necessary","Moderately confident",,,,,,,,,,,,
"304",,,,,,,,,,,,,,,,,,
"305",,,,,,,,,,,,,,,,,,
"288",,,,,,,,,,,,,,,,,,
"289",,,,,,,,,,,,,,,,,,
"290",,,,,,,,,,,,,,,,,,
"291",,,,"Not concerned","Moderately necessary","Confident",,,,,,,,,,,,
"292","Not concerned","Moderately necessary","Confident",,,,,,,,,,,,,,,
"306",,,,,,,,,,,,,,,,,,
"307",,,,,,,,,,,,,,,,,,
"312",,,,,,,,,,,,,"Slightly concerned","Necessary","Very confident",,,
"308",,,,,,,,,,,,,,,,,,
"309",,,,,,,,,,,,,,,,,,
"310","Slightly concerned","Necessary","Confident",,,,,,,,,,,,,,,
"311",,,,"Slightly concerned","Necessary","Confident",,,,,,,,,,,,
"313",,,,,,,"Not concerned","Necessary","Very confident",,,,,,,,,
"314",,,,,,,,,,,,,,,,"Not concerned","Necessary","Very confident"
"315",,,,,,,,,,"Not concerned","Necessary","Very confident",,,,,,
"316",,,,,,,,,,,,,,,,,,
"317","Not concerned","Necessary","Very confident",,,,,,,,,,,,,,,
"324",,,,,,,,,,,,,,,,,,
"325",,,,,,,,,,,,,,,,,,
"323",,,,,,,,,,,,,"Not concerned","Moderately necessary","Very confident",,,
"318",,,,,,,"Not concerned","Very necessary","Very confident",,,,,,,,,
"319",,,,,,,,,,,,,,,,"Not concerned","Necessary","Very confident"
"320",,,,,,,,,,"Not concerned","Very necessary","Very confident",,,,,,
"321",,,,,,,,,,,,,,,,,,
"322","Not concerned","Very necessary","Very confident",,,,,,,,,,,,,,,
"333",,,,"Not concerned","Not necessary","Not confident",,,,,,,,,,,,
"334","Not concerned","Not necessary","Not confident",,,,,,,,,,,,,,,
"335",,,,,,,,,,,,,,,,,,
"336",,,,,,,,,,,,,,,,,,
"331",,,,,,,,,,,,,,,,,,
"332",,,,,,,,,,,,,,,,,,
"326",,,,,,,"Moderately concerned","Slightly necessary","Slightly confident",,,,,,,,,
"327",,,,,,,,,,,,,,,,"Not concerned","Very necessary","Very confident"
"328",,,,,,,,,,"Not concerned","Moderately necessary","Very confident",,,,,,
"329",,,,,,,,,,,,,,,,,,
"330","Not concerned","Very necessary","Very confident",,,,,,,,,,,,,,,
"337",,,,,,,,,,,,,,,,,,
"338",,,,,,,,,,,,,,,,,,
"339",,,,,,,,,,,,,,,,,,
"340",,,,"Very concerned","Not necessary","Confident",,,,,,,,,,,,
"341","Very concerned","Not necessary","Confident",,,,,,,,,,,,,,,
"347",,,,,,,,,,,,,,,,,,
"348",,,,,,,,,,,,,,,,,,
"349","Not concerned","Moderately necessary","Not confident",,,,,,,,,,,,,,,
"350",,,,"Slightly concerned","Not necessary","Not confident",,,,,,,,,,,,
"351",,,,,,,,,,,,,,,,,,
"352","Not concerned","Moderately necessary","Confident",,,,,,,,,,,,,,,
"353",,,,"Concerned","Not necessary","Confident",,,,,,,,,,,,
"342",,,,,,,"Slightly concerned","Slightly necessary","Not confident",,,,,,,,,
"343",,,,,,,,,,,,,,,,"Slightly concerned","Slightly necessary","Not confident"
"344",,,,,,,,,,"Slightly concerned","Slightly necessary","Not confident",,,,,,
"345","Slightly concerned","Slightly necessary","Not confident",,,,,,,,,,,,,,,
"346",,,,"Slightly concerned","Slightly necessary","Not confident",,,,,,,,,,,,
"354",,,,,,,,,,,,,"Slightly concerned","Slightly necessary","Slightly confident",,,
"355","Moderately concerned","Moderately necessary","Moderately confident",,,,,,,,,,,,,,,
"356",,,,"Moderately concerned","Slightly necessary","Moderately confident",,,,,,,,,,,,
"357",,,,,,,,,,,,,,,,,,
"358",,,,"Slightly concerned","Slightly necessary","Moderately confident",,,,,,,,,,,,
"359","Not concerned","Moderately necessary","Moderately confident",,,,,,,,,,,,,,,
"360",,,,"Slightly concerned","Necessary","Confident",,,,,,,,,,,,
"361",,,,,,,,,,"Slightly concerned","Moderately necessary","Very confident",,,,,,
"362",,,,,,,,,,,,,,,,"Slightly concerned","Necessary","Confident"
"363",,,,,,,"Not concerned","Moderately necessary","Confident",,,,,,,,,
"364",,,,,,,,,,,,,,,,,,
"365","Not concerned","Moderately necessary","Confident",,,,,,,,,,,,,,,
"366",,,,,,,,,,,,,,,,"Moderately concerned","Slightly necessary","Slightly confident"
"367","Moderately concerned","Moderately necessary","Not confident",,,,,,,,,,,,,,,
"368",,,,"Concerned","Moderately necessary","Slightly confident",,,,,,,,,,,,
"369",,,,,,,,,,,,,,,,,,
"370",,,,,,,,,,,,,,,,,,
"371",,,,,,,,,,,,,,,,,,
"374",,,,,,,,,,,,,,,,,,
"375","Not concerned","Necessary","Very confident",,,,,,,,,,,,,,,
"376",,,,"Slightly concerned","Moderately necessary","Very confident",,,,,,,,,,,,
"372",,,,,,,,,,,,,,,,,,
"373",,,,,,,,,,,,,,,,,,
"385",,,,,,,,,,,,,,,,,,
"386",,,,,,,,,,,,,,,,,,
"387","Slightly concerned","Moderately necessary","Confident",,,,,,,,,,,,,,,
"388",,,,"Slightly concerned","Moderately necessary","Moderately confident",,,,,,,,,,,,
"377",,,,,,,"Not concerned","Moderately necessary","Confident",,,,,,,,,
"378",,,,,,,,,,,,,,,,"Not concerned","Moderately necessary","Confident"
"379",,,,,,,,,,"Slightly concerned","Moderately necessary","Confident",,,,,,
"380","Slightly concerned","Moderately necessary","Confident",,,,,,,,,,,,,,,
"381",,,,"Slightly concerned","Moderately necessary","Confident",,,,,,,,,,,,
"382",,,,,,,,,,,,,,,,,,
"383","Moderately concerned","Slightly necessary","Moderately confident",,,,,,,,,,,,,,,
"384",,,,"Moderately concerned","Slightly necessary","Slightly confident",,,,,,,,,,,,
"397",,,,,,,,,,,,,,,,,,
"389",,,,,,,"Not concerned","Very necessary","Confident",,,,,,,,,
"390",,,,,,,,,,,,,,,,,,
"391",,,,,,,,,,"Not concerned","Necessary","Moderately confident",,,,,,
"392","Not concerned","Very necessary","Confident",,,,,,,,,,,,,,,
"393",,,,,,,,,,,,,,,,,,
"394",,,,,,,,,,,,,,,,,,
"395",,,,,,,,,,,,,,,,,,
"396",,,,,,,,,,,,,,,,,,
"398",,,,,,,,,,,,,,,,,,
"399",,,,,,,,,,,,,,,,,,
"400",,,,"Moderately concerned","Not necessary","Slightly confident",,,,,,,,,,,,
"401","Moderately concerned","Moderately necessary","Confident",,,,,,,,,,,,,,,
"402",,,,,,,,,,,,,,,,,,
"406",,,,,,,"Slightly concerned","Necessary","Confident",,,,,,,,,
"407",,,,,,,,,,,,,,,,"Slightly concerned","Moderately necessary","Very confident"
"408",,,,,,,,,,,,,,,,,,
"409","Moderately concerned","Moderately necessary","Moderately confident",,,,,,,,,,,,,,,
"410",,,,,,,,,,"Slightly concerned","Moderately necessary","Moderately confident",,,,,,
"403",,,,,,,,,,,,,,,,,,
"404",,,,"Very concerned","Not necessary","Not confident",,,,,,,,,,,,
"405","Moderately concerned","Slightly necessary","Slightly confident",,,,,,,,,,,,,,,
"417",,,,,,,,,,,,,,,,,,
"418","Not concerned","Moderately necessary","Not confident",,,,,,,,,,,,,,,
"419",,,,"Slightly concerned","Slightly necessary","Slightly confident",,,,,,,,,,,,
"411",,,,,,,,,,"Concerned","Not necessary","Not confident",,,,,,
"412","Not concerned","Moderately necessary","Not confident",,,,,,,,,,,,,,,
"413",,,,"Concerned","Slightly necessary","Not confident",,,,,,,,,,,,
"414",,,,,,,"Moderately concerned","Necessary","Slightly confident",,,,,,,,,
"415","Not concerned","Necessary","Moderately confident",,,,,,,,,,,,,,,
"416",,,,"Slightly concerned","Not necessary","Slightly confident",,,,,,,,,,,,
"420",,,,,,,,,,,,,,,,,,
"421","Not concerned","Necessary","Confident",,,,,,,,,,,,,,,
"422",,,,"Not concerned","Necessary","Confident",,,,,,,,,,,,
"423",,,,,,,"Slightly concerned","Necessary","Very confident",,,,,,,,,
"424",,,,,,,,,,,,,,,,,,
"425","Not concerned","Necessary","Very confident",,,,,,,,,,,,,,,
"429",,,,,,,"Slightly concerned","Necessary","Very confident",,,,,,,,,
"430",,,,,,,,,,,,,,,,"Slightly concerned","Necessary","Very confident"
"431",,,,,,,,,,"Slightly concerned","Moderately necessary","Very confident",,,,,,
"432",,,,,,,,,,,,,,,,,,
"433",,,,"Slightly concerned","Moderately necessary","Confident",,,,,,,,,,,,
"434","Not concerned","Necessary","Very confident",,,,,,,,,,,,,,,
"426",,,,,,,,,,,,,,,,,,
"427",,,,"Moderately concerned","Moderately necessary","Confident",,,,,,,,,,,,
"428","Moderately concerned","Moderately necessary","Confident",,,,,,,,,,,,,,,
"436",,,,,,,,,,,,,,,,,,
"437",,,,,,,,,,,,,,,,,,
"438",,,,"Concerned","Not necessary","Not confident",,,,,,,,,,,,
"439","Concerned","Not necessary","Moderately confident",,,,,,,,,,,,,,,
"435",,,,,,,,,,,,,,,,,,
"440",,,,,,,,,,,,,,,,,,
"441",,,,"Concerned","Necessary","Confident",,,,,,,,,,,,
"442","Concerned","Necessary","Confident",,,,,,,,,,,,,,,
"446","Moderately concerned","Slightly necessary","Confident",,,,,,,,,,,,,,,
"447",,,,"Concerned","Not necessary","Confident",,,,,,,,,,,,
"448",,,,,,,,,,,,,,,,,,
"449",,,,,,,,,,,,,,,,,,
"443",,,,,,,"Moderately concerned","Very necessary","Confident",,,,,,,,,
"444","Slightly concerned","Necessary","Confident",,,,,,,,,,,,,,,
"445",,,,,,,,,,,,,,,,,,
"460",,,,,,,,,,,,,,,,,,
"461","Not concerned","Very necessary","Very confident",,,,,,,,,,,,,,,
"462",,,,,,,,,,,,,,,,,,
"451",,,,,,,,,,,,,,,,,,
"452",,,,,,,,,,,,,,,,,,
"453",,,,,,,,,,,,,,,,,,
"454",,,,,,,,,,,,,,,,,,
"455",,,,,,,,,,,,,,,,,,
"456","Not concerned","Very necessary","Very confident",,,,,,,,,,,,,,,
"457",,,,"Not concerned","Very necessary","Very confident",,,,,,,,,,,,
"458",,,,,,,,,,,,,,,,,,
"459",,,,,,,,,,,,,,,,,,
"450",,,,,,,,,,,,,,,,,,
"470",,,,,,,,,,,,,,,,,,
"471",,,,,,,,,,,,,"Slightly concerned","Slightly necessary","Confident",,,
"463",,,,,,,"Very concerned","Not necessary","Not confident",,,,,,,,,
"464","Moderately concerned","Not necessary","Slightly confident",,,,,,,,,,,,,,,
"465",,,,,,,,,,,,,,,,,,
"466",,,,,,,,,,,,,,,,,,
"467",,,,,,,,,,,,,,,,,,
"468","Not concerned","Slightly necessary","Confident",,,,,,,,,,,,,,,
"469",,,,"Not concerned","Slightly necessary","Confident",,,,,,,,,,,,
"472",,,,,,,,,,,,,,,,,,
"473",,,,,,,,,,,,,,,,,,
"474",,,,"Concerned","Not necessary","Confident",,,,,,,,,,,,
"475","Moderately concerned","Not necessary","Confident",,,,,,,,,,,,,,,
"476",,,,,,,,,,,,,,,,,,
"477",,,,"Concerned","Not necessary","Moderately confident",,,,,,,,,,,,
"478","Slightly concerned","Slightly necessary","Moderately confident",,,,,,,,,,,,,,,
"479",,,,,,,"Slightly concerned","Necessary","Confident",,,,,,,,,
"480",,,,,,,,,,,,,,,,"Slightly concerned","Necessary","Confident"
"481",,,,,,,,,,"Slightly concerned","Slightly necessary","Confident",,,,,,
"482","Slightly concerned","Moderately necessary","Confident",,,,,,,,,,,,,,,
"483",,,,,,,,,,,,,,,,,,
"484",,,,,,,,,,,,,,,,,,
"485",,,,,,,,,,,,,,,,,,
"486",,,,,,,,,,,,,,,,,,
"487","Moderately concerned","Not necessary","Confident",,,,,,,,,,,,,,,
"488",,,,"Concerned","Not necessary","Confident",,,,,,,,,,,,
"489",,,,,,,,,,,,,,,,,,
"490",,,,,,,,,,,,,,,,,,
"491","Not concerned","Necessary","Very confident",,,,,,,,,,,,,,,
"492",,,,,,,,,,,,,,,,,,
"493","Not concerned","Necessary","Confident",,,,,,,,,,,,,,,
"494",,,,,,,,,,,,,,,,,,
"495",,,,"Not concerned","Moderately necessary","Confident",,,,,,,,,,,,
"499",,,,,,,,,,,,,,,,,,
"500",,,,,,,,,,,,,,,,,,
"501","Not concerned","Very necessary","Very confident",,,,,,,,,,,,,,,
"502",,,,"Slightly concerned","Moderately necessary","Confident",,,,,,,,,,,,
"496","Not concerned","Very necessary","Very confident",,,,,,,,,,,,,,,
"497",,,,"Slightly concerned","Moderately necessary","Confident",,,,,,,,,,,,
"498",,,,,,,,,,,,,,,,,,
"503","Not concerned","Necessary","Confident",,,,,,,,,,,,,,,
"504",,,,"Not concerned","Necessary","Confident",,,,,,,,,,,,
"505",,,,,,,,,,,,,,,,,,
"506",,,,,,,,,,,,,,,,,,
"507","Slightly concerned","Moderately necessary","Moderately confident",,,,,,,,,,,,,,,
"508",,,,"Concerned","Moderately necessary","Slightly confident",,,,,,,,,,,,
"509",,,,,,,"Slightly concerned","Very necessary","Confident",,,,,,,,,
"510",,,,,,,,,,,,,,,,"Slightly concerned","Very necessary","Very confident"
"511",,,,,,,,,,"Slightly concerned","Very necessary","Confident",,,,,,
"512","Not concerned","Necessary","Very confident",,,,,,,,,,,,,,,
"513",,,,"Moderately concerned","Necessary","Confident",,,,,,,,,,,,
"515",,,,,,,,,,,,,,,,,,
"516",,,,"Concerned","Not necessary","Not confident",,,,,,,,,,,,
"517","Concerned","Not necessary","Not confident",,,,,,,,,,,,,,,
"514",,,,,,,,,,,,,,,,,,
"521",,,,,,,,,,,,,"Not concerned","Necessary","Very confident",,,
"522",,,,,,,,,,,,,,,,,,
"523","Not concerned","Necessary","Very confident",,,,,,,,,,,,,,,
"518",,,,,,,,,,,,,,,,,,
"519","Not concerned","Very necessary","Very confident",,,,,,,,,,,,,,,
"520",,,,"Not concerned","Not necessary","Very confident",,,,,,,,,,,,
"524",,,,,,,,,,,,,"Not concerned","Necessary","Very confident",,,
"525",,,,,,,,,,,,,,,,,,
"526",,,,,,,,,,,,,,,,,,
"527",,,,,,,,,,,,,,,,,,
"528",,,,"Moderately concerned","Moderately necessary","Moderately confident",,,,,,,,,,,,
"529","Moderately concerned","Moderately necessary","Moderately confident",,,,,,,,,,,,,,,
"533",,,,,,,,,,,,,"Not concerned","Necessary","Confident",,,
"532",,,,,,,,,,,,,,,,,,
"530",,,,,,,,,,,,,,,,,,
"531",,,,,,,,,,,,,,,,,,
"534",,,,,,,,,,,,,,,,,,
"535",,,,,,,,,,,,,,,,,,
"536",,,,"Slightly concerned","Not necessary","Moderately confident",,,,,,,,,,,,
"537","Not concerned","Moderately necessary","Confident",,,,,,,,,,,,,,,
"538",,,,,,,,,,,,,,,,,,
"539",,,,,,,,,,,,,,,,,,
"540",,,,,,,,,,,,,,,,,,
"545",,,,,,,,,,,,,,,,,,
"546","Not concerned","Necessary","Confident",,,,,,,,,,,,,,,
"547",,,,"Moderately concerned","Slightly necessary","Slightly confident",,,,,,,,,,,,
"541",,,,,,,,,,,,,,,,,,
"542",,,,,,,,,,,,,,,,,,
"543","Not concerned","Necessary","Confident",,,,,,,,,,,,,,,
"544",,,,"Moderately concerned","Not necessary","Slightly confident",,,,,,,,,,,,
"551",,,,"Slightly concerned","Slightly necessary","Very confident",,,,,,,,,,,,
"552","Slightly concerned","Necessary","Very confident",,,,,,,,,,,,,,,
"553",,,,,,,,,,,,,,,,,,
"554",,,,,,,,,,,,,,,,,,
"550",,,,,,,,,,,,,,,,,,
"548",,,,,,,,,,,,,"Not concerned","Necessary","Very confident",,,
"549",,,,,,,,,,,,,,,,,,
"564",,,,,,,,,,,,,,,,,,
"565",,,,,,,,,,,,,"Not concerned","Slightly necessary","Very confident",,,
"558",,,,,,,,,,,,,"Not concerned","Not necessary","Very confident",,,
"555",,,,,,,,,,"Concerned","Not necessary","Very confident",,,,,,
"556","Slightly concerned","Moderately necessary","Very confident",,,,,,,,,,,,,,,
"557",,,,"Slightly concerned","Moderately necessary","Confident",,,,,,,,,,,,
"559",,,,,,,"Not concerned","Very necessary","Very confident",,,,,,,,,
"560",,,,,,,,,,,,,,,,"Not concerned","Very necessary","Very confident"
"561",,,,,,,,,,"Not concerned","Very necessary","Very confident",,,,,,
"562","Not concerned","Very necessary","Very confident",,,,,,,,,,,,,,,
"563",,,,"Slightly concerned","Necessary","Very confident",,,,,,,,,,,,
"566",,,,,,,,,,,,,,,,,,
"568",,,,,,,"Not concerned","Very necessary","Very confident",,,,,,,,,
"569","Not concerned","Very necessary","Very confident",,,,,,,,,,,,,,,
"570",,,,,,,,,,,,,,,,,,
"567",,,,,,,,,,,,,,,,,,
"571",,,,,,,"Slightly concerned","Very necessary","Confident",,,,,,,,,
"572",,,,,,,,,,,,,,,,"Not concerned","Necessary","Moderately confident"
