"participant_id","have_gmail","google_primary","google_owner","google_how_long","google_recall_app","google_recall_sso","generic_recall_app","generic_recall_sso","iuipcQ1","iuipcQ2","iuipcQ3","iuipcQ4","iuipcQ5","iuipcQ6","iuipcQ7","iuipcQ8","gender","age","education","background"
"55","Yes","Yes","Own Account","Less than or about 10 years","Yes","Yes",,,"Agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Man","25 - 34","Some college","I have an education in, or work in, the field of computer science, computer engineering or IT."
"56","Yes","Yes","Own Account","Less than or about 1 year","Yes","Yes",,,"Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Strongly agree","Agree","Man","18 - 24","Some high school","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"57","Yes","Yes","Own Account","Less than or about 1 year","No","Yes",,,"Neither agree nor disagree","Agree","Agree","Agree","Agree","Somewhat disagree","Agree","Somewhat agree","Man","18 - 24","Some high school","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"58","Yes","Yes","Own Account","More than 10 years","No","Yes",,,"Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Strongly agree","Disagree","Somewhat disagree","Somewhat agree","Agree","Man","35 - 44","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"61","Yes","Yes","Own Account","Less than or about 5 years","Yes","Yes",,,"Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Neither agree nor disagree","Woman","18 - 24","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"62","Yes","Yes","Own Account","Less than or about 10 years","Yes","Yes",,,"Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Agree","Somewhat agree","Agree","Somewhat agree","Woman","25 - 34","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"65","Yes","Yes","Own Account","More than 10 years","Unsure","Yes",,,"Agree","Agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Woman","18 - 24","Master's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"66","Yes","Yes","Own Account","Less than or about 5 years","Unsure","Yes",,,"Somewhat agree","Somewhat agree","Agree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Disagree","Woman","18 - 24","Bachelor's Degree","I have an education in, or work in, the field of computer science, computer engineering or IT."
"68","Yes","Yes","Own Account","More than 10 years","Yes","Yes",,,"Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Somewhat agree","Woman","25 - 34","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"72","Yes","Yes","Own Account","Less than or about 1 year","Yes","Yes",,,"Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Agree","Man","35 - 44","Master's Degree","I have an education in, or work in, the field of computer science, computer engineering or IT."
"73","Yes","Yes","Own Account","More than 10 years","No","Yes",,,"Agree","Agree","Strongly agree","Strongly agree","Agree","Somewhat agree","Agree","Agree","Woman","25 - 34","Master's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"76","Yes","Yes","Own Account","More than 10 years","Yes","Yes",,,"Somewhat agree","Somewhat agree","Strongly agree","Agree","Agree","Somewhat agree","Agree","Somewhat agree","Woman","45 - 54","Some college","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"77","Yes","Yes","Own Account","More than 10 years","No","No",,,"Agree","Agree","Strongly agree","Strongly agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Woman","25 - 34","Master's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"78","Yes","Yes","Own Account","Less than or about 1 year","Unsure","Yes",,,"Somewhat agree","Agree","Agree","Strongly agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Agree","Woman","18 - 24","Some college","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"79","Yes","Yes","Own Account","More than 10 years","Yes","Yes",,,"Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Woman","18 - 24","Some college","I have an education in, or work in, the field of computer science, computer engineering or IT."
"81","Yes","Yes","Own Account","Unsure","Unsure","Yes",,,"Somewhat agree","Agree","Strongly agree","Strongly agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Woman","55 - 64","Bachelor's Degree","I have an education in, or work in, the field of computer science, computer engineering or IT."
"82","Yes","Yes","Own Account","More than 10 years","Yes","Yes",,,"Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Agree","Non-binary","25 - 34","Some college","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"84","Yes","Yes","Own Account","More than 10 years","Yes","Yes",,,"Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Somewhat agree","Woman","18 - 24","High school","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"85","Yes","Yes","Own Account","Less than or about 5 years","Yes","Yes",,,"Strongly agree","Agree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Agree","Man","18 - 24","Some high school","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"86","Yes","Yes","Own Account","More than 10 years","Yes","Yes",,,"Agree","Neither agree nor disagree","Agree","Agree","Agree","Agree","Strongly agree","Strongly agree","Woman","25 - 34","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"87","Yes","Yes","Own Account","Less than or about 5 years","No","Yes",,,"Agree","Agree","Agree","Strongly agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Woman","25 - 34","Master's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"88","Yes","Yes","Own Account","Less than or about 10 years","Unsure","Yes",,,"Somewhat agree","Somewhat disagree","Strongly agree","Strongly agree","Agree","Somewhat agree","Agree","Somewhat disagree","Man","25 - 34","Associate's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"90","Yes","Yes","Own Account","Less than or about 5 years","Unsure","Yes",,,"Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Strongly agree","Strongly agree","Man","25 - 34","Trade, technical, or vocational training","I have an education in, or work in, the field of computer science, computer engineering or IT."
"92","Yes","Yes","Own Account","Less than or about 5 years","Unsure","Yes",,,"Agree","Agree","Agree","Agree","Agree","Somewhat agree","Agree","Agree","Woman","18 - 24","Some college","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"93","Yes","Yes","Own Account","Less than or about 5 years","No","Yes",,,"Somewhat agree","Agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Woman","18 - 24","Some college","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"95","Yes","Yes","Own Account","Less than or about 5 years","No","Yes",,,"Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Man","25 - 34","Associate's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"96","Yes","Yes","Own Account","Less than or about 10 years","No","No",,,"Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Man","25 - 34","Bachelor's Degree","I have an education in, or work in, the field of computer science, computer engineering or IT."
"98","Yes","Yes","Own Account","Less than or about 5 years","Yes","Yes",,,"Somewhat agree","Agree","Agree","Strongly agree","Agree","Somewhat agree","Somewhat agree","Agree","Man","18 - 24","Some college","I have an education in, or work in, the field of computer science, computer engineering or IT."
"99","Yes","Yes","Own Account","More than 10 years","Yes","Yes",,,"Somewhat agree","Agree","Agree","Agree","Strongly agree","Strongly agree","Agree","Agree","Man","35 - 44","Master's Degree","I have an education in, or work in, the field of computer science, computer engineering or IT."
"100","Yes","Yes","Own Account","Less than or about 5 years","No","Yes",,,"Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Woman","18 - 24","High school","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"101","Yes","Yes","Own Account","More than 10 years","Yes","Yes",,,"Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Man","35 - 44","Master's Degree","I have an education in, or work in, the field of computer science, computer engineering or IT."
"104","Yes","Yes","Own Account","Less than or about 10 years","No","Yes",,,"Strongly agree","Agree","Strongly agree","Strongly agree","Agree","Agree","Strongly agree","Agree","Woman","18 - 24","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"106","Yes","Yes","Own Account","Less than or about 5 years","Unsure","Yes",,,"Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Agree","Agree","Agree","Agree","Somewhat agree","Man","18 - 24","High school","Prefer not to disclose"
"107","Yes","Yes","Own Account","Less than or about 5 years","No","Yes",,,"Strongly agree","Agree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Man","25 - 34","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"110","Yes","Yes","Own Account","Less than or about 5 years","Unsure","Yes",,,"Agree","Agree","Strongly agree","Agree","Somewhat agree","Somewhat agree","Agree","Somewhat agree","Woman","35 - 44","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"112","Yes","Yes","Own Account","More than 10 years","No","No",,,"Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Man","25 - 34","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"113","Yes","Yes","Own Account","Less than or about 10 years","No","Yes",,,"Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Woman","18 - 24","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"114","Yes","Yes","Own Account","Unsure","Unsure","Yes",,,"Somewhat agree","Somewhat disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Man","18 - 24","High school","I have an education in, or work in, the field of computer science, computer engineering or IT."
"115","No",,,,,,"Yes","Yes","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Man","25 - 34","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"116","Yes","Yes","Own Account","Less than or about 10 years","Unsure","Yes",,,"Somewhat agree","Agree","Agree","Agree","Disagree","Disagree","Somewhat disagree","Disagree","Man","35 - 44","Some college","Prefer not to disclose"
"119","Yes","Yes","Own Account","Less than or about 10 years","Yes","Yes",,,"Agree","Agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Woman","25 - 34","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"121","Yes","Yes","Own Account","Less than or about 5 years","Yes","Yes",,,"Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Somewhat agree","Somewhat agree","Strongly agree","Man","35 - 44","Some college","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"123","Yes","Yes","Own Account","More than 10 years","No","Yes",,,"Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Man","35 - 44","Some college","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"124","Yes","Yes","Own Account","Less than or about 5 years","No","Yes",,,"Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Somewhat agree","Strongly agree","Neither agree nor disagree","Woman","65 or older","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"125","Yes","Yes","Own Account","More than 10 years","Yes","Yes",,,"Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Man","25 - 34","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"126","Yes","Yes","Own Account","Less than or about 10 years","No","No",,,"Agree","Somewhat agree","Agree","Agree","Agree","Somewhat agree","Somewhat agree","Somewhat agree","Woman","25 - 34","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"127","Yes","Yes","Own Account","More than 10 years","Unsure","Yes",,,"Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Somewhat agree","Somewhat agree","Strongly agree","Man","35 - 44","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"129","Yes","Yes","Own Account","Less than or about 5 years","Yes","Yes",,,"Somewhat agree","Somewhat agree","Neither agree nor disagree","Agree","Agree","Somewhat agree","Agree","Neither agree nor disagree","Man","25 - 34","Bachelor's Degree","Prefer not to disclose"
"130","Yes","Yes","Own Account","Less than or about 1 year","Yes","Yes",,,"Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Agree","Somewhat agree","Somewhat agree","Agree","Woman","25 - 34","Master's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"131","Yes","Yes","Own Account","Less than or about 5 years","No","Yes",,,"Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Strongly agree","Man","18 - 24","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"133","Yes","Yes","Own Account","Less than or about 1 year","Unsure","Yes",,,"Somewhat agree","Agree","Somewhat agree","Agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Man","25 - 34","Master's Degree","I have an education in, or work in, the field of computer science, computer engineering or IT."
"134","Yes","Yes","Institutional Account","More than 10 years","Yes","No",,,"Agree","Strongly agree","Strongly agree","Strongly agree","Agree","Somewhat agree","Agree","Strongly agree","Woman","25 - 34","Master's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"135","Yes","Yes","Own Account","More than 10 years","Unsure","Yes",,,"Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Woman","45 - 54","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"137","Yes","Yes","Own Account","Less than or about 10 years","Yes","Yes",,,"Somewhat agree","Agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Man","25 - 34","Some college","I have an education in, or work in, the field of computer science, computer engineering or IT."
"138","Yes","Yes","Own Account","More than 10 years","No","No",,,"Agree","Agree","Somewhat agree","Somewhat agree","Agree","Agree","Agree","Agree","Man","25 - 34","Master's Degree","I have an education in, or work in, the field of computer science, computer engineering or IT."
"139","Yes","Yes","Own Account","Unsure","No","Yes",,,"Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Strongly agree","Agree","Man","25 - 34","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"141","Yes","Yes","Own Account","Less than or about 1 year","No","No",,,"Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Neither agree nor disagree","Strongly agree","Man","25 - 34","Bachelor's Degree","I have an education in, or work in, the field of computer science, computer engineering or IT."
"142","Yes","Yes","Own Account","Less than or about 5 years","Yes","Yes",,,"Agree","Somewhat agree","Strongly agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Man","25 - 34","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"143","Yes","Yes","Own Account","Less than or about 5 years","Yes","Yes",,,"Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Man","25 - 34","Master's Degree","I have an education in, or work in, the field of computer science, computer engineering or IT."
"148","Yes","Yes","Own Account","Less than or about 5 years","Unsure","Yes",,,"Agree","Strongly agree","Agree","Strongly agree","Strongly agree","Agree","Agree","Somewhat agree","Man","18 - 24","High school","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"149","Yes","Yes","Own Account","More than 10 years","Yes","Yes",,,"Agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Strongly agree","Strongly agree","Man","35 - 44","Professional degree","I have an education in, or work in, the field of computer science, computer engineering or IT."
"150","Yes","Yes","Own Account","More than 10 years","Yes","No",,,"Agree","Strongly agree","Strongly agree","Strongly agree","Agree","Somewhat agree","Strongly agree","Agree","Woman","55 - 64","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"151","Yes","Yes","Own Account","More than 10 years","Unsure","Yes",,,"Agree","Agree","Strongly agree","Strongly agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Woman","25 - 34","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"152","Yes","Yes","Own Account","Less than or about 5 years","Yes","Yes",,,"Neither agree nor disagree","Agree","Strongly agree","Strongly agree","Agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Man","18 - 24","High school","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"153","Yes","Yes","Own Account","Less than or about 1 year","No","Yes",,,"Agree","Strongly agree","Strongly agree","Strongly agree","Agree","Somewhat agree","Somewhat agree","Agree","Man","18 - 24","Some college","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"154","Yes","Yes","Own Account","More than 10 years","No","Yes",,,"Strongly agree","Strongly agree","Agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Woman","65 or older","Master's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"155","Yes","Yes","Own Account","Less than or about 5 years","Yes","Yes",,,"Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Agree","Strongly agree","Man","25 - 34","Master's Degree","I have an education in, or work in, the field of computer science, computer engineering or IT."
"156","Yes","Yes","Own Account","Less than or about 1 year","Yes","Yes",,,"Agree","Agree","Strongly agree","Strongly agree","Disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Woman","25 - 34","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"158","Yes","Yes","Own Account","Less than or about 10 years","Yes","No",,,"Strongly agree","Agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Agree","Neither agree nor disagree","Man","35 - 44","Associate's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"161","Yes","Yes","Own Account","Less than or about 5 years","Yes","Yes",,,"Agree","Agree","Agree","Agree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Man","35 - 44","Bachelor's Degree","I have an education in, or work in, the field of computer science, computer engineering or IT."
"163","Yes","Yes","Own Account","Less than or about 5 years","No","Yes",,,"Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Woman","18 - 24","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"164","Yes","Yes","Own Account","Less than or about 1 year","Unsure","Yes",,,"Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Man","25 - 34","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"166","Yes","Yes","Own Account","Less than or about 5 years","Unsure","Yes",,,"Agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Neither agree nor disagree","Agree","Agree","Woman","18 - 24","Associate's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"167","Yes","Yes","Own Account","Less than or about 5 years","Unsure","Yes",,,"Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Man","25 - 34","Doctorate","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"168","Yes","Yes","Institutional Account","Less than or about 5 years","No","Yes",,,"Neither agree nor disagree","Somewhat agree","Agree","Somewhat agree","Agree","Somewhat agree","Somewhat agree","Agree","Woman","18 - 24","Some college","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"169","Yes","Yes","Own Account","Less than or about 5 years","Yes","Yes",,,"Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Woman","18 - 24","Some college","I have an education in, or work in, the field of computer science, computer engineering or IT."
"172","Yes","Yes","Own Account","Less than or about 5 years","No","Yes",,,"Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Woman","18 - 24","Master's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"173","Yes","Yes","Own Account","More than 10 years","Unsure","Yes",,,"Strongly agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Man","25 - 34","Master's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"174","Yes","Yes","Institutional Account","Less than or about 5 years","No","Yes",,,"Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Woman","35 - 44","Master's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"175","Yes","Yes","Own Account","More than 10 years","Unsure","Yes",,,"Agree","Agree","Strongly agree","Strongly agree","Agree","Somewhat agree","Agree","Agree","Woman","35 - 44","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"176","Yes","Yes","Own Account","Less than or about 5 years","No","Yes",,,"Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Man","25 - 34","Bachelor's Degree","Prefer not to disclose"
"177","Yes","Yes","Own Account","More than 10 years","Yes","Yes",,,"Agree","Agree","Agree","Agree","Agree","Somewhat agree","Agree","Agree","Man","35 - 44","Bachelor's Degree","I have an education in, or work in, the field of computer science, computer engineering or IT."
"178","Yes","Yes","Own Account","Less than or about 10 years","Yes","Yes",,,"Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Strongly agree","Woman","18 - 24","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"180","Yes","Yes","Institutional Account","Less than or about 10 years","Yes","Yes",,,"Somewhat agree","Agree","Strongly agree","Strongly agree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Man","45 - 54","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"181","Yes","Yes","Own Account","Less than or about 5 years","No","Yes",,,"Agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Somewhat agree","Man","45 - 54","Some college","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
