Response ID,describe_concern_newest_app,Code 1,Code 2,Code 3,Code 4,Code 5,Code 6,Code 7,Code 8
156,,,,,,,,,
157,I am mostly fine with Windows holding these permissions but being able to permanently delete all emails is a bit worrying.,,,,,,,,
158,I know that it needs to use fit data so I have no concerns.,,,,,,,,
159,,,,,,,,,
160,,,,,,,,,
161,I don't remember it asking me for permission to change my games activity so I'm not even sure what it is doing with that information.,,,,,,,,
162,I don't have a problem with this.,,,,,,,,
163,,,,,,,,,
164,I don't really know why they would need ALL personal info.,,,,,,,,
165,"Simply that the app will mess with something - a file - that it shouldn't be messing with. Otherwise, in order for the app to function as designed, it will need these permissions.",,,,,,,,
166,"I am concerned that the adidas Training app has access to all my email accounts, especially since I have removed the app from my phone and I don't see why the app still has to have these permissions.",,,,,,,,
167,,,,,,,,,
168,,,,,,,,,
169,I don't have any concerns with windows holding these permissions.,,,,,,,,
170,none,,,,,,,,
171,I don't know if I want them to be able to delete stuff from my Google Drive.,,,,,,,,
172,,,,,,,,,
173,None,,,,,,,,
174,"Less concerned about this company having these permission, I know they need my date of birth to deliver me wine.",,,,,,,,
175,I don't feel sure they only see the files I use in whatsapp,,,,,,,,
176,,,,,,,,,
178,just makes me think of old worm emails that would get info about who you send and recieve emails from,,,,,,,,
179,,,,,,,,,
180,I don't have any. I trust the service to keep my information secure.,,,,,,,,
181,"The ability to delete items on Google Drive is a bit strange, and I'm not sure why that is necessary.",,,,,,,,
182,I'm not too concerned since I like being constantly updated with my deliveries,,,,,,,,
183,,,,,,,,,
184,I have no concerns,,,,,,,,
185,,,,,,,,,
186,,,,,,,,,
187,,,,,,,,,
188,,,,,,,,,
189,,,,,,,,,
190,"I see it only has permission to view my YouTube account, which I am fine with since it is a public account anyway. I don't post anything or have anything on there that I don't want to the world to potentially see so I don't care who sees it.",,,,,,,,
191,,,,,,,,,
192,,,,,,,,,
193,,,,,,,,,
194,,,,,,,,,
195,"I'm always worried about personal details, but I am pleasantly surprized at how minimal the permissions are.",,,,,,,,
196,"I do not know why the app has to associate itself with my personal data. I do recall seeing more ads for this app after I have downloaded it. Frankly, I am annoyed now that I notice this.",,,,,,,,
197,i dont use it,,,,,,,,
198,"Again worried about it deleting some information I typed out onto a google document and me not realizing it until much later and having to redo it. I am worried about who has my email address and what they can do about it, but all the other information is public so my worry level is low",,,,,,,,
199,,,,,,,,,
200,"I'm a bit concerned about their access to my Youtube Channel, since it seems a bit unnecessary and excessive.",,,,,,,,
201,Privacy concerns,,,,,,,,
202,I have no concerns.,,,,,,,,
203,,,,,,,,,
204,I do not have any.,,,,,,,,
205,,,,,,,,,
206,none,,,,,,,,
207,,,,,,,,,
208,Again my biggest concern is the company using my data for their own profit,,,,,,,,
209,None,,,,,,,,
210,,,,,,,,,
211,"none, really. Mostly that someone else would be able to bypass security functions to access my Drive.",,,,,,,,
212,None.,,,,,,,,
213,"I don't remember authorizing Viki. Therefore, my concerns are that Viki even holds these permissions I don't remember allowing.",,,,,,,,
214,I don't have any concerns about Zoom accessing my calendar,,,,,,,,
216,I do not have any pressing concerns.,,,,,,,,
218,If it shares my files with others.,,,,,,,,
219,This doesn't really bother me since it's really just tracking the time that I play the game and what I do while playing. Not a big deal.,,,,,,,,
220,Tuya Smart connects to my Alexa device therefor it is obvious it has holds of certain permissions. My only concern is that it may share my personal info,,,,,,,,
221,zoom should only be able to modify events on my calendar that zoom has previously entered and whose dates or times or access urls may have vhanged.,,,,,,,,
222,,,,,,,,,
223,,,,,,,,,
224,"I just don't really have a need for this extension anymore, and the fact that they have access to my sending of emails from GMail is concerning since the app is meant to help you just find email addresses at other companies.",,,,,,,,
225,"I have little concern because I operate the OS, and macOS is pretty secure.",,,,,,,,
226,I don't think some of the data that Lumin PDF is asking for is necessary for them to have access to. I'd be curious why they kind certain parts of my data necessary for me to access their site.,,,,,,,,
227,"I am fine with them having this information. It does not bother me... again, as long as they are not selling it to another party.",,,,,,,,
228,,,,,,,,,
229,,,,,,,,,
230,,,,,,,,,
231,I don't have too many concerns. It is another shopping app that requires access to my gmail.,,,,,,,,
232,Pirate Kings' permission doesn't seem like a security concern from my understanding.,,,,,,,,
233,I do not have any concerns.,,,,,,,,
234,No conerns,,,,,,,,
235,"None, It uses google play for many things.",,,,,,,,
236,,,,,,,,,
237,,,,,,,,,
238,"No concerns. The tv has access but it's a Google App, so Google already has this information.",,,,,,,,
239,,,,,,,,,
240,,,,,,,,,
241,,,,,,,,,
242,,,,,,,,,
243,I am not sure why it needs to see my emails,,,,,,,,
244,,,,,,,,,
245,none,,,,,,,,
246,no concerns,,,,,,,,
247,,,,,,,,,
248,I don't know who they're sharing my info with or if it's secure.,,,,,,,,
