Response ID,describe_concern_random_app,Code 1,Code 2,Code 3,Code 4,Code 5,Code 6,Code 7,Code 8
126,,,,,,,,,
127,,,,,,,,,
128,No concerns,,,,,,,,
129,,,,,,,,,
130,,,,,,,,,
131,I don't really have concerns about this because this product is for Google. I trust Google so I am not really worried about any of these things.,,,,,,,,
132,,,,,,,,,
133,I have no idea why this has access to my info so I am concerned.,,,,,,,,
134,Don't really have any,,,,,,,,
135,,,,,,,,,
136,,,,,,,,,
137,,,,,,,,,
138,none,,,,,,,,
139,,,,,,,,,
140,"I am not sure I want to be associated with my personal information, the information in the survey is vague, so it may be a non-issue.",,,,,,,,
141,,,,,,,,,
143,I have none.,,,,,,,,
144,,,,,,,,,
145,,,,,,,,,
146,,,,,,,,,
147,"Again, just don't like the idea being of info being leaked somehow",,,,,,,,
148,,,,,,,,,
149,It doesn't need to see my emails in my opinion for the app to function.,,,,,,,,
150,,,,,,,,,
151,,,,,,,,,
152,,,,,,,,,
153,,,,,,,,,
154,None,,,,,,,,
155,"Considering that this was a single player game I downloaded on a whim, I am not comfortable with the amount of access they have to my account.",,,,,,,,
156,,,,,,,,,
157,I am mostly fine with Samsung holding these permissions as I trust in it.,,,,,,,,
158,,,,,,,,,
159,,,,,,,,,
160,,,,,,,,,
161,I just didn't remember giving permissions to this game to access my activity. So I'm not sure why they have my information or need to create edit or delete it.,,,,,,,,
162,"I don't think it has too many permissions and nothing seems unreasonable, so I'm okay with this.",,,,,,,,
163,,,,,,,,,
164,"I trust Windows, I have no concerns.",,,,,,,,
165,I don't want it to have any access to my Google account as I no longer use this app but I don't know how to remove them.,,,,,,,,
166,"I don't see why it is necessary for CCleaner to have access to Google Drive. It does not really make sense to me, and I am concerned that it can delete files in my Google Drive account.",,,,,,,,
167,,,,,,,,,
168,,,,,,,,,
169,,,,,,,,,
170,none,,,,,,,,
171,,,,,,,,,
172,,,,,,,,,
173,,,,,,,,,
174,"No, I gave these permissions so I can use other apps on my computer with my google account.",,,,,,,,
175,,,,,,,,,
176,,,,,,,,,
178,"same asdragalia lost, it holds onto my save game for when i want to play the game or change phones",,,,,,,,
179,,,,,,,,,
180,No specific concerns that I can think of.,,,,,,,,
181,I'm still not sure why it would need to delete my play history?,,,,,,,,
182,Its a game I downloaded a long time ago and I didn't know it'd need access like that.,,,,,,,,
183,,,,,,,,,
184,I want to understand better what full account access really means and does,,,,,,,,
185,,,,,,,,,
186,,,,,,,,,
187,,,,,,,,,
188,,,,,,,,,
189,,,,,,,,,
190,No concerns. It is a game and both of the permissions are valid.,,,,,,,,
191,,,,,,,,,
192,,,,,,,,,
193,,,,,,,,,
194,,,,,,,,,
195,"I'm not sure what ""see and download all of your Google Account email addresses"" means, but I don't like the idea of a company downloading any personal information.",,,,,,,,
196,"I do not remember what this site is about, and why it has to see my contacts. I do not ever want my contacts to be knowledgeable about the websites I use because of my Google account, regardless of what kind of website it is.",,,,,,,,
197,i dont have any,,,,,,,,
198,It is worrying that it may mess with my email and delete some things. I wish it didn't have access to my contacts and calendar I dont use either one but it feels invasive and im worried about it deleting something or editing it.,,,,,,,,
199,,,,,,,,,
200,,,,,,,,,
201,none,,,,,,,,
202,I am slightly concerned about the fact that mailtrack can delete emails.,,,,,,,,
203,,,,,,,,,
204,I do not have any.,,,,,,,,
205,,,,,,,,,
206,none,,,,,,,,
207,,,,,,,,,
208,,,,,,,,,
209,None of them,,,,,,,,
210,,,,,,,,,
211,,,,,,,,,
212,I don't know what this is or remember using it. It may have been something I needed to download for telehealth but now I think I should delete it/remove permissions.,,,,,,,,
213,,,,,,,,,
214,This makes it sound like Windows could just delete my emails or contacts on its own so that is concerning to me,,,,,,,,
216,I am concerned that it can send emails.,,,,,,,,
218,None.,,,,,,,,
219,"I'm not concerned because it really only has access to my games activity, which I was already tracking with mistplay anyways. So it doesn't really bother me.",,,,,,,,
220,It concerns me that an application that I have never used before has my personal information at all.,,,,,,,,
221,I've never worried about apple invading my privacy,,,,,,,,
222,,,,,,,,,
223,,,,,,,,,
224,,,,,,,,,
225,"I don't use Dropbox now, but may use it in the future. I have little concern with the app holding these permissions.",,,,,,,,
226,I'm curious as to why Fetch finds these permissions essential to providing their services to their consumers. I don't think some of them are necessary like access to personal info that I make publicly available.,,,,,,,,
227,"No concerns really. I don't see why they need my birthday, though.",,,,,,,,
228,,,,,,,,,
229,,,,,,,,,
230,,,,,,,,,
231,"I don't have any. I have a mac laptop and an apple phone and tablet. I use handoff multiple times a day, and cloud sync. I need my computer to communicate with my phone and tablet.",,,,,,,,
232,"I don't think this app should use Google Drive for storing config data, and rather save it locally.",,,,,,,,
233,I do not have any concerns.,,,,,,,,
234,,,,,,,,,
235,None,,,,,,,,
236,,,,,,,,,
237,,,,,,,,,
238,This is one of my favorite features of Todoist. 2-way communication with Google calendar makes things very easier and I can organize things better this way.,,,,,,,,
239,,,,,,,,,
240,,,,,,,,,
241,,,,,,,,,
242,,,,,,,,,
243,I am not sure why it needs to see my email,,,,,,,,
244,,,,,,,,,
245,Don't remember giving access,,,,,,,,
246,,,,,,,,,
247,,,,,,,,,
248,,,,,,,,,
