Response ID,google_recall_app_no_consider,Code 1,Code 2,Code 3,Code 4,Code 5,Code 6,Code 7,Code 8
347,what other accounts are being linked,,,,,,,,
349,,,,,,,,,
351,yes,,,,,,,,
352,,,,,,,,,
354,,,,,,,,,
355,I would consider how much of my information they would be collecting,,,,,,,,
357,,,,,,,,,
358,,,,,,,,,
360,,,,,,,,,
361,,,,,,,,,
362,privacy and ownership of information,,,,,,,,
363,I would consider my privacy before granting access.,,,,,,,,
364,,,,,,,,,
365,yes I would determine if the risk is worth it.,,,,,,,,
366,I would consider the insidious nature of the inter connectivity and the probability that I am agreeing to way more access than I realize.,,,,,,,,
367,Security risks,,,,,,,,
368,,,,,,,,,
372,,,,,,,,,
373,,,,,,,,,
374,I would want to google it to make sure it was safe.,,,,,,,,
376,I would want there to be a method of doing so that doesn't involve using my account password.,,,,,,,,
377,,,,,,,,,
379,"I would not like it if the service needed to run in the background on my phone. I would not want it to have too much personal information, such as my full name or address.",,,,,,,,
381,I would not consider it because I don't like the idea of an app having access to my contacts.,,,,,,,,
382,,,,,,,,,
383,,,,,,,,,
384,How much they are able to view of my google account and whether or not I can customize my privacy.,,,,,,,,
385,I would consider the potential security leaks that could come from me allowing this third-party access to my information.,,,,,,,,
386,Whether it was convenient. My only consideration would be whether it would save time or effort.,,,,,,,,
387,"I would think first about whether I might be bothered by having this third party jump into my normal google functions. For example, I wouldn't want an app to mess with my google calendar when I would maybe just rather go into the app to check on its own external calendar.",,,,,,,,
388,,,,,,,,,
389,,,,,,,,,
391,"How easy it would be to unsubcribe if I wanted to, how interested I was in the process",,,,,,,,
392,What they would have access to and If I trust the site,,,,,,,,
393,,,,,,,,,
394,If the information was really necessary to share or if doing so would benefit me in any way.,,,,,,,,
395,,,,,,,,,
396,"no, giving them too much information",,,,,,,,
397,,,,,,,,,
398,The security and and privacy of these other apps.,,,,,,,,
399,Privacy and what the information is going to be used for.,,,,,,,,
400,"If the scenario that you just suggested was to actually happen, I would consider giving the app access. I would like to see that Google trusts the app and suggests that you allow the access",,,,,,,,
401,If the third party is reliable. If they're likely to share my information.,,,,,,,,
402,privacy,,,,,,,,
403,no,,,,,,,,
404,I would consider what am I at risk of.,,,,,,,,
405,I don't remember ever seeing an option to do it or have that come up before.,,,,,,,,
406,,,,,,,,,
407,whether or not it was a third-party app I felt comfortable with having my information.,,,,,,,,
408,The developers of the app in question,,,,,,,,
410,,,,,,,,,
411,"I'd consider it, but it would really depend on the company behind the app.",,,,,,,,
413,If it were safe.,,,,,,,,
415,,,,,,,,,
416,,,,,,,,,
417,,,,,,,,,
418,Privacy and data collection which I know Google is not so good with,,,,,,,,
419,"I would probably consider whether it's a reputable app or if its a scam trying to steal my information. Other than that, I wouldn't think much of it.",,,,,,,,
420,,,,,,,,,
422,,,,,,,,,
423,viruses,,,,,,,,
425,,,,,,,,,
426,How much personal information their able to retain,,,,,,,,
427,,,,,,,,,
428,safety and privacy concerns,,,,,,,,
431,,,,,,,,,
432,,,,,,,,,
433,,,,,,,,,
434,,,,,,,,,
435,,,,,,,,,
436,,,,,,,,,
437,,,,,,,,,
439,,,,,,,,,
440,,,,,,,,,
442,,,,,,,,,
443,I would consider what level of access that the app was requesting and if it seemed worth the time saved or benefits received.,,,,,,,,
444,,,,,,,,,
445,"I would be curious what the third party app would be accessing (location data, contacts, browsing history, etc...)",,,,,,,,
449,i mean i might. kinda feels weird like maybe that's too much of them being in my personal data but then again if they really wanted to they'd find a way to get it anyways. doesn't google make money off selling our info?,,,,,,,,
450,I would consider what exact information the app wanted from my Google account and if I was comfortable giving the app that information.,,,,,,,,
451,,,,,,,,,
454,security and i wuldnt do it,,,,,,,,
455,I would think about whether I was comfortable opening portions of my Gmail data to that app.,,,,,,,,
456,,,,,,,,,
458,,,,,,,,,
459,,,,,,,,,
461,if it was secure and wouldn't store my personal data,,,,,,,,
462,,,,,,,,,
463,,,,,,,,,
464,,,,,,,,,
465,,,,,,,,,
466,,,,,,,,,
468,,,,,,,,,
469,,,,,,,,,
470,what information it wanted and whether it was worth sharing.,,,,,,,,
471,"As long as they are not taking information that can harm me, I am okay with them having access.",,,,,,,,
474,,,,,,,,,
475,Which app I am granting access to.,,,,,,,,
476,,,,,,,,,
477,how much access it has that does not require my permission,,,,,,,,
479,,,,,,,,,
480,,,,,,,,,
483,,,,,,,,,
484,I would consider if it were easier to sign in with my google account or just simply create an account through the platform.,,,,,,,,
485,About using data from my account that I would not normally feel comfortable giving out. An example of this is how often I would resubscribe to protein powder deliveries.,,,,,,,,
486,I would consider if the third party was reputable and if the connection would be secure and safe.,,,,,,,,
487,,,,,,,,,
488,,,,,,,,,
489,,,,,,,,,
490,I would consider what information it was accessing on my account.,,,,,,,,
491,,,,,,,,,
493,,,,,,,,,
496,,,,,,,,,
497,no,,,,,,,,
498,,,,,,,,,
499,,,,,,,,,
501,,,,,,,,,
502,"The same as I said last time, my information spreading. Also, I know Google tracks EVERYTHING.",,,,,,,,
503,My media and information that is connected to my Google account.,,,,,,,,
504,If it was something I was doing because it is necessary or because I want to save time.,,,,,,,,
505,The reputation of the service and the personal data it would be able to access.,,,,,,,,
507,,,,,,,,,
508,"How many things they had access to and what permissions (could they see my data, etc)",,,,,,,,
509,,,,,,,,,
510,,,,,,,,,
511,,,,,,,,,
512,Whether or not it's asking for access of too much personal information or asking for access for stuff not related to the app.,,,,,,,,
513,,,,,,,,,
514,,,,,,,,,
515,I'd consider if the information I'd give them could pose a security risk,,,,,,,,
516,What sensitive information it would gain access to and how safe it would be that it does not get compromised.,,,,,,,,
517,,,,,,,,,
518,,,,,,,,,
519,,,,,,,,,
521,,,,,,,,,
522,,,,,,,,,
523,,,,,,,,,
527,,,,,,,,,
528,,,,,,,,,
529,,,,,,,,,
530,"Making sure that it doesn't mess up anything else that I have going on via my Google Account, such as additional spam or taking up extra storage space",,,,,,,,
532,"I would consider the reputability of the third-party app and how my information may be stored or used, and I'd consider whether or not I have any alternatives to granting this access.",,,,,,,,
533,,,,,,,,,
536,,,,,,,,,
537,,,,,,,,,
538,The source of the app and if I was familiar with it.,,,,,,,,
539,No,,,,,,,,
540,What the third-party app would have access to.,,,,,,,,
542,I would want to make sure what the app has access to is not too personal.,,,,,,,,
543,,,,,,,,,
544,,,,,,,,,
545,I would consider the possibility of my information being obtained.,,,,,,,,
547,I would consider if the app would keep my data for later use.,,,,,,,,
548,"I would consider how secure the app is, I wouldn't want my information compromised. I also would consider the type of request, and how relevant it is to the usage of the app.",,,,,,,,
549,How secure is this? What will they do with my information? Why do they need the information?,,,,,,,,
550,,,,,,,,,
552,,,,,,,,,
553,,,,,,,,,
554,"What type of information is shared, and why. Do I have control over what is shared?",,,,,,,,
555,"I would consider how useful it would be. I wouldn't give a third-party app access to something that doesn't make sense, such as one that needs to use my contacts but shouldn't be able to use my calendar.",,,,,,,,
556,I would consider what information is being taken from me as well as the benefits of using a third-party app.,,,,,,,,
557,,,,,,,,,
558,,,,,,,,,
559,,,,,,,,,
561,Yes,,,,,,,,
562,,,,,,,,,
564,,,,,,,,,
566,,,,,,,,,
569,,,,,,,,,
570,,,,,,,,,
574,What permissions they ask for and what info they retain,,,,,,,,
575,I would consider what I am willing to share and how much I want this app to know about myself. I would think about the security aspect of the company as well.,,,,,,,,
577,,,,,,,,,
580,,,,,,,,,
581,if it is safe,,,,,,,,
582,,,,,,,,,
583,What they will use my information for,,,,,,,,
585,"what permissions it asks for, online reviews, security",,,,,,,,
588,,,,,,,,,
589,Permissions,,,,,,,,
590,,,,,,,,,
591,Data /personal information exploitation.,,,,,,,,
592,,,,,,,,,
593,,,,,,,,,
594,The privacy settings,,,,,,,,
595,,,,,,,,,
598,,,,,,,,,
600,,,,,,,,,
595,,,,,,,,,
598,,,,,,,,,
600,,,,,,,,,
