Response ID,google_recall_app_yes_consider,Code 1,Code 2,Code 3,Code 4,Code 5,Code 6,Code 7,Code 8
117,Is my debit card going to get stolen? What about my browsing history? which is worse?,security,security->information_theft,,,,,,
122,,,,,,,,,
123,I was concerned about security of my account and access to my personal information.,personal_information,,,,,,,
124,That is was easier,ease_of_use,,,,,,,
125,,,,,,,,,
126,nothing,nothing,,,,,,,
127,,,,,,,,,
128,,,,,,,,,
129,I considered how relatively easy it would be,ease_of_use,,,,,,,
130,I considered whether or not I trusted the app I was giving access to my data/Google account.,is_trusted,is_trusted->app,comfort_with_app_or_service,comfort_with_app_or_service->access_to_information,,,,
132,How long the company has been around and reputation.,is_trusted,is_trusted->company,,,,,,
135,i considered the source its coming from,is_trusted,is_trusted->company,,,,,,
137,,,,,,,,,
138,,,,,,,,,
140,,,,,,,,,
141,,,,,,,,,
142,,,,,,,,,
143,I wanted to be sure it wouldn't use any permissions I was uncomfortable with,permissions,,,,,,,
146,,,,,,,,,
147,,,,,,,,,
148,,,,,,,,,
149,,,,,,,,,
150,,,,,,,,,
151,I look at the list of permissiosn to make sure nothing is out of order or spooky,permissions,permissions->correct,,,,,,
152,"In situations like these, I am thinking more critically towards privacy and what permissions I'm allowing the 3rd party to have",privacy,permissions,,,,,,
154,The ease of having already connected my drive to the google account.,ease_of_use,ease_of_use->already_connected,,,,,,
155,,,,,,,,,
156,,,,,,,,,
157,,,,,,,,,
158,If that third-party really needed access to that or not.,permissions,permissions->necessary,,,,,,
159,"I double-check what Google is accessing, but that's about it.",permissions,permissions->access,,,,,,
160,Nothing I wished to use the app.,nothing,,,,,,,
162,"If it was safe, did it appear secure and safe.",security,safety_of_app,,,,,,
163,I didn't really consider much. I just wanted to be able to edit my PDF and download it for free.,unconcerned,is_app_useful,,,,,,
164,That my information could be stolen.,security,security->information_theft,,,,,,
165,,,,,,,,,
166,,,,,,,,,
167,,,,,,,,,
168,,,,,,,,,
170,,,,,,,,,
171,whether this was needed,is_app_useful,,,,,,,
172,,,,,,,,,
174,"I considered downloading a ZIP extractor on my desktop and unzipping the relevant folder, however it seemed much easier to just access it from Google Drive, as the folder was originally already online and I wanted to store the data in the cloud as well.",convenience,is_app_useful,,,,,,
175,,,,,,,,,
177,,,,,,,,,
179,,,,,,,,,
180,,,,,,,,,
182,What permissions were being granted and how much information I was conceding,permissions,permissions->what_information_accessible,,,,,,
184,,,,,,,,,
186,,,,,,,,,
187,I did think about the security features and if I would like Google to have access to other apps that contain personal information.,security,personal_information,,,,,,
188,"I did not consider anything, as I thought it was completely safe.",unconcerned,,,,,,,
189,,,,,,,,,
191,Would it steal my info,security,security->information_theft,,,,,,
192,,,,,,,,,
194,if the app had the ability to modify other data on my account.,permissions,permissions->modify_data,,,,,,
195,whether or not it had access to other personal data,permissions,permissions->what_information_accessible,,,,,,
198,if i should have logged in with facebook instead,other_options,other_options->facebook,,,,,,
199,Using another app,other_options,,,,,,,
200,Making sure that I knew what I was agreeing to,unknowns,,,,,,,
201,How to expedite the sign on process.,ease_of_use,ease_of_use->sign_in_process,,,,,,
202,,,,,,,,,
203,Privacy and if the app uses anything for marketing data.,privacy,privacy->data_used_for_advertising,,,,,,
204,,,,,,,,,
207,if my data could be leaked,security,security->information_leak,,,,,,
208,,,,,,,,,
209,"I wasn't happy that I had to agree to that loss of privacy, but I really wanted to use the app in that moment and understood I was consenting to losing the privacy.",privacy,is_app_useful,tradeoff,tradeoff->useful,,,,
210,"I considered whether it was safe, whether or not the service was important for me.",safety_of_app,is_app_useful,,,,,,
212,Nothing,nothing,,,,,,,
213,How easily the service could be hacked and if my information were to be compromised.,security,security->misuse,,,,,,
214,,,,,,,,,
215,,,,,,,,,
216,,,,,,,,,
217,,,,,,,,,
220,The benefits of the third-party app balanced with the potential loss-of-privacy that is inherent to giving a third-party app access to my account,is_app_useful,privacy,tradeoff,tradeoff->useful,,,,
221,How much money it would make me and security questions as well.,security,is_app_useful,,,,,,
222,Do I want my account associated with this?,personal_information,personal_information->account,,,,,,
223,,,,,,,,,
225,,,,,,,,,
226,Saftey,safety_of_app,,,,,,,
228,I wasn't sure if the app should have gained so much information about me.,personal_information,personal_information->amount_collected,,,,,,
230,,,,,,,,,
231,whether it was secure and could i trust it.,security,is_trusted,is_trusted->app,,,,,
233,"Nothing! Like before, I generally trust anything that leads to that google SSO page.",unconcerned,unconcerned->trust_google,,,,,,
234,"Again, I really was focused on website reliability. Even more so than for single sign-in. When it comes to access, I really want to make sure I know who I am giving the rights to and why they need it. If they're asking for more than seems reasonably necessary, I'll just go somewhere else.",is_trusted,is_trusted->website,permissions,permissions->necessary,,,,
235,privacy concerns,privacy,,,,,,,
236,"Same as with the others, I don't allow it unless it's a well-known, trusted sight.",is_trusted,is_trusted->website,,,,,,
237,"I was a little concerned my data could be leaked, but ultimately still granted third-party access",security,security->information_leak,,,,,,
238,,,,,,,,,
239,If I can find a 1st party app that can do what I need first.,other_options,,,,,,,
241,doing it from scratch,other_options,,,,,,,
242,If my information was safe,security,security->information,,,,,,
245,I considered if the app really needed all of the permissions it requested.,permissions,permissions->necessary,,,,,,
246,,,,,,,,,
248,,,,,,,,,
249,,,,,,,,,
250,,,,,,,,,
251,,,,,,,,,
253,if it would actually be helpful or not,is_app_useful,,,,,,,
255,,,,,,,,,
256,,,,,,,,,
257,,,,,,,,,
258,if I felt okay with it having access,comfort_with_app_or_service,comfort_with_app_or_service->access_to_information,,,,,,
259,I really didn't consider anything else. I knew I had to connect my Zoom account with my Google Account.,is_app_useful,,,,,,,
260,,,,,,,,,
261,,,,,,,,,
262,If I would notice it more on the google calendar or the calendar on my phone.,nothing,,,,,,,
263,,,,,,,,,
264,i usually dont care when it asks i just say yes,unconcerned,,,,,,,
266,,,,,,,,,
268,,,,,,,,,
270,"I didnt, since it was a part of android i just let it",unconcerned,,,,,,,
271,,,,,,,,,
273,I didn't consider anything.,nothing,,,,,,,
275,,,,,,,,,
276,Nothing,nothing,,,,,,,
277,,,,,,,,,
278,If this info was necessary for the app to have,permissions,permissions->necessary,,,,,,
279,Privacy and data sharing,privacy,personal_information,,,,,,
284,,,,,,,,,
285,Whether I wanted to let the site gain access to my email account,personal_information,personal_information->email,,,,,,
288,,,,,,,,,
289,,,,,,,,,
291,My privacy and payment info,privacy,,,,,,,
292,How easy it was to revoke access,ease_of_use,ease_of_use->access_removal,,,,,,
295,,,,,,,,,
296,"I typically just allow access without thinking about it, to be honest.",unconcerned,,,,,,,
297,,,,,,,,,
298,,,,,,,,,
299,Amount of spam I may receive. Convenience of registration.,unwanted_emails,convenience,convenience->account_creation,,,,,
300,I guess just making sure they weren't getting any personal information,personal_information,,,,,,,
301,,,,,,,,,
302,I mostly just considered how convenient it would be to just grant access.,convenience,,,,,,,
303,,,,,,,,,
305,"Account was made with the Google sign-in, so the account is linked to in.",transfer_of_trust,transfer_of_trust->from_google,,,,,,
306,,,,,,,,,
307,Whether the website was secure,security,security->website,,,,,,
308,,,,,,,,,
309,Is it safe to let this app take my information?,safety_of_app,personal_information,,,,,,
310,,,,,,,,,
311,,,,,,,,,
312,,,,,,,,,
313,How much information and what kind of information it was recieving,unknowns,unknowns->information_access,,,,,,
314,,,,,,,,,
315,I reviewed the permissions to make sure it made sense and did not ask for any sensors or information on the device it shouldn't need.,permissions,permissions->necessary,,,,,,
317,,,,,,,,,
318,"Do I really want to do this was really the main thing I thought about. Did I really want to share my information with the site, otherwise I couldn't view any more places.",personal_information,personal_information->sharing,,,,,,
319,Mostly privacy concerns and worried about leaks.,privacy,security,security->information_leak,,,,,
321,Nothing,nothing,,,,,,,
322,,,,,,,,,
323,,,,,,,,,
325,I was mostly interested in what the app wanted access to. My recollection was that it wasn't anything that caused me any serious concern.,permissions,permissions->access,unconcerned,,,,,
326,,,,,,,,,
327,I considered if it might be harmful to grant access to certain parts of my Google Account that didn't seem necessary to me.,permissions,permissions->necessary,,,,,,
328,"I didn't consider much, but I would consider how many permissions it was requesting access to just in case they try to get more than they need.",permissions,permissions->necessary,,,,,,
329,,,,,,,,,
330,,,,,,,,,
331,,,,,,,,,
332,,,,,,,,,
333,I considered whether I needed Google to make changes to my account for me or whether I wanted to do it on my own,other_options,,,,,,,
335,Should I give them this data versus the ease of it knowing where I am,personal_information,personal_information->sharing,,,,,,
336,,,,,,,,,
337,,,,,,,,,
338,How much information they would be able to access on my phone and make changes to.,permissions,permissions->access,permissions->modify_data,,,,,
339,I considered if they were going to steal my data,security,security->misuse,,,,,,
340,What pieces of information I was giving to the app,personal_information,personal_information->sharing,,,,,,
341,Nothing. It was all okay.,nothing,,,,,,,
342,nothing,nothing,,,,,,,
345,I was wondering if Google enforced certain guidelines.,unknowns,unknowns->google_guideline_enforcement,,,,,,
347,,,,,,,,,
349,"My privacy of course, but I felt that it was trustworthy enough and went for it.",privacy,is_trusted,,,,,,
351,,,,,,,,,
352,What the weather was going to be like that weekend.,nothing,,,,,,,
354,If I had anything that could truly be compromised on my google account,personal_information,personal_information->sensitive,,,,,,
355,,,,,,,,,
357,"definately read through the permissions, lots of dubious apps use information it does not need to collect and sell information",permissions,,,,,,,
358,I considered whether I thought google would let zoom take advantage of me or not.,transfer_of_trust,transfer_of_trust->from_google,,,,,,
360,"Whether it was strictly necessary to give the app access, or whether I could use the app effectively without granting access.",permissions,permissions->necessary,,,,,,
361,If they can see what I do on my google account,personal_information,personal_information->account,,,,,,
362,,,,,,,,,
363,,,,,,,,,
364,I always scroll through all permissions and think about whether or not the app would actually need them to function.,permissions,permissions->necessary,,,,,,
365,,,,,,,,,
366,,,,,,,,,
367,,,,,,,,,
368,I did not consider much information security-wise.,nothing,,,,,,,
372,I was wary of allowing this information to be given to them.,personal_information,personal_information->sharing,,,,,,
373,"Nothing much, companies already have my info.",nothing,,,,,,,
374,,,,,,,,,
376,,,,,,,,,
377,I considered if the information that is required from the app is taking advantage of my information or not.,personal_information,,,,,,,
379,,,,,,,,,
381,,,,,,,,,
382,"The private data that the app wanted to access, such as my location, reading my personal messages, accessing my contacts, that data is very private and I don't think it should be read.",personal_information,personal_information->sensitive,,,,,,
383,not much,nothing,,,,,,,
384,,,,,,,,,
385,,,,,,,,,
386,,,,,,,,,
387,,,,,,,,,
388,I consider whether the website is trustworthy and whether the access they're requesting actually makes sense (e.g. if an app asks for access to important/secure data that it doesn't actually need in order to work),is_trusted,is_trusted->website,permissions,permissions->necessary,,,,
389,That it was okay since Google was allowing it,transfer_of_trust,transfer_of_trust->from_google,,,,,,
391,,,,,,,,,
392,,,,,,,,,
393,using an alternate email,using_an_alternate_account,,,,,,,
394,,,,,,,,,
395,I'm always worried about my privacy anytime a app asks me for that information,privacy,,,,,,,
396,,,,,,,,,
397,I also considered security implications of this and whether it would lead to things I didn't want to happen to my account.,security,,,,,,,
398,,,,,,,,,
399,,,,,,,,,
400,,,,,,,,,
401,,,,,,,,,
402,,,,,,,,,
403,,,,,,,,,
404,,,,,,,,,
405,,,,,,,,,
406,I considered whether the website is trustworthy or not.,is_trusted,is_trusted->website,,,,,,
407,,,,,,,,,
408,,,,,,,,,
410,Again it must be okay since it partnered with Google,transfer_of_trust,transfer_of_trust->from_google,,,,,,
411,,,,,,,,,
413,,,,,,,,,
415,What kind of information was being shared; would it be easier to just create an account with the third-party app.,tradeoff,tradeoff->sharing_information,other_options,,,,,
416,"Privacy issues, security of whatever entity Iwas granting access to",privacy,security,permissions,permissions->access,,,,
417,security,security,,,,,,,
418,,,,,,,,,
419,,,,,,,,,
420,I didn't consider anything. jQuery35101615608822469108_1618671446698????,nothing,,,,,,,
422,privacy concerns,privacy,,,,,,,
423,,,,,,,,,
425,Would they steal my info,security,security->misuse,,,,,,
426,,,,,,,,,
427,nothing,nothing,,,,,,,
428,,,,,,,,,
431,if they would misuse my info,security,security->misuse,,,,,,
432,"I didn't have a choice, really...I was instructed to do so by my employer, who wanted access to my work calender, availability, and evidence of meetings held.",is_app_useful,,,,,,,
433,I always consider if the types of access the apps need are related to the app or not.,permissions,permissions->necessary,,,,,,
434,I thought about if I had any concerns with the third party app having access to my account and information.,personal_information,personal_information->account,,,,,,
435,I didn't consider much,nothing,,,,,,,
436,"I didn't consider anything, I just said yes",nothing,,,,,,,
437,I had to consider what it would see and look at as a result of connecting it.,unknowns,unknowns->information_access,,,,,,
439,Convenience as well as what the app collected and stored played a role in my decision.,convenience,tradeoff,tradeoff->sharing_information,,,,,
440,The specific permissions that the app wanted to use,permissions,,,,,,,
442,I considered if there was sensitive information I would not want shared.,personal_information,personal_information->sensitive,,,,,,
443,,,,,,,,,
444,"I considered whether I could see myself needing to do something which would require google to have access to something, and if now, I would deny that access.",unknowns,unknowns->information_access,,,,,,
445,,,,,,,,,
449,,,,,,,,,
450,,,,,,,,,
451,If it was a trustworthy website and what would the app access include.,is_trusted,is_trusted->website,,,,,,
454,,,,,,,,,
455,,,,,,,,,
456,concerns of my privacy,privacy,,,,,,,
458,I checked to see what access and information the app would gain,permissions,permissions->access,permissions->what_information_accessible,,,,,
459,That Google has a death-grip on my life,,,,,,,,
461,,,,,,,,,
462,"Safety, but I always check what I am allowing access to.",safety_of_app,permissions,permissions->access,,,,,
463,If they are a reputable company or not.,is_trusted,is_trusted->company,,,,,,
464,If the service was legitimate.,is_trusted,is_trusted->app,,,,,,
465,nothing,nothing,,,,,,,
466,no extra thoughts,nothing,,,,,,,
468,The worth of the content I would be exposed to and the risk of information lost to untrustworthy developers.,security,security->information_leak,,,,,,
469,Whether the permissions they were asking for were too much.,permissions,permissions->necessary,,,,,,
470,,,,,,,,,
471,,,,,,,,,
474,privacy,privacy,,,,,,,
475,,,,,,,,,
476,I considered my privacy and security but again because honey is mainstream I trust it.,privacy,security,,,,,,
477,,,,,,,,,
479,I considered what information and access will be allowed through my Google account.,permissions,permissions->access,permissions->what_information_accessible,,,,,
480,"I'd rather an app have access to my email than my Facebook, and I hate having to remember tons of different passwords.",ease_of_use,ease_of_use->sign_in_process,,,,,,
483,I didn't think much about it or worry about the permissions at all,nothing,,,,,,,
484,,,,,,,,,
485,,,,,,,,,
486,,,,,,,,,
487,everyone else on the committee was using the app,transfer_of_trust,,,,,,,
488,Using traditional forms of calendars (print) or having a different account separate from Google.,other_options,,,,,,,
489,"I considered whether they truly needed access to some areas of my Google account. I would not allow it if the game or app made posts without my permission. Other than that, I do not think it mattered if it accesses some of my data, as long as it is not my password.",permissions,permissions->access,,,,,,
490,,,,,,,,,
491,Whether or not the site had the potential for hackers/data breaches from giving them all that permission.,permissions,security,security->misuse,,,,,
493,Using my Facebook account,other_options,other_options->facebook,,,,,,
496,"I considered using the stock calendar app, but decided my solution was a better fit.",other_options,,,,,,,
497,,,,,,,,,
498,"I didn't think about much because I knew I didn't have much info on my calendar anyways, so I just allowed access.",unconcerned,,,,,,,
499,What capabilities I was giving the third-party,permissions,,,,,,,
501,What information Google will allow them to see.,permissions,permissions->what_information_accessible,,,,,,
502,,,,,,,,,
503,,,,,,,,,
504,,,,,,,,,
505,,,,,,,,,
507,I considered the convenience of having my data synced versus the risk of allowing my information to be accessed by another app.,tradeoff,tradeoff->useful,convenience,,,,,
508,,,,,,,,,
509,do I have anything in my account I care enough about to not share with this company?,unconcerned,,,,,,,
510,same as before... security and privacy,security,privacy,,,,,,
511,nothing,nothing,,,,,,,
512,,,,,,,,,
513,not a lot,nothing,,,,,,,
514,I considered the risk of giving this service access to my account.,safety_of_app,,,,,,,
515,,,,,,,,,
516,,,,,,,,,
517,I didn't consider anything,nothing,,,,,,,
518,N/A,nothing,,,,,,,
519,The risks of granting account permissions vs. the convenience of creating a new account and password,convenience,convenience->account_creation,permissions,tradeoff,,,,
521,I considered the convenience.,convenience,,,,,,,
522,"I considered whether my privacy would be violated, but thought the risk necessary.",privacy,tradeoff,tradeoff->useful,,,,,
523,If it is safe.,safety_of_app,,,,,,,
527,I considered how often I would use the service before signing in with my Google account.,is_app_useful,,,,,,,
528,creating a new account on the service,convenience,convenience->account_creation,,,,,,
529,"The kinds of data they would see and whether this data would potentially be sold, whether it was ""worth"" it to allow access to the app for the extra services it would provide",permissions,permissions->what_information_accessible,tradeoff,tradeoff->useful,,,,
530,,,,,,,,,
532,,,,,,,,,
533,I considered the benefits of letting the game have access I was getting bonus points for it.,is_app_useful,,,,,,,
536,Why would they need access to my gmail account,permissions,permissions->necessary,,,,,,
537,I considered if allowing the third-party app access would be worth my time.,is_app_useful,,,,,,,
538,,,,,,,,,
539,,,,,,,,,
540,,,,,,,,,
542,,,,,,,,,
543,"nothing, privacy doesnt exist",nothing,,,,,,,
544,Do I trust their security,security,is_trusted,,,,,,
545,,,,,,,,,
547,,,,,,,,,
548,,,,,,,,,
549,,,,,,,,,
550,Nothing. I don't really have any google contacts,nothing,,,,,,,
552,I don't trust this,is_trusted,,,,,,,
553,I consider whether others would have access to information about me which I wanted it kept secret.,personal_information,personal_information->sensitive,,,,,,
554,,,,,,,,,
555,,,,,,,,,
556,,,,,,,,,
557,Is this trust worthy?,is_trusted,,,,,,,
558,Did not think much about out. I dont keep my personal information in emails. I write it in a book,unconcerned,,,,,,,
559,I'm more restrictive about giving outside apps access to my Google. I think much more about the quality and privacy of the website and how much access it's requesting.,privacy,is_trusted,is_trusted->website,,,,,
561,,,,,,,,,
562,I considered how much of my primary account information would be available. I would never allow this for unknown 3rd party sites.,permissions,permissions->what_information_accessible,,,,,,
564,I considered my privacy and security.,privacy,security,,,,,,
566,"How easy it would be to unsubscribe from the lists, how long the service would have access to my calendar when I delete lists or deactivate my account, what other aspects of my account could the service gain access to without my knowledge.",permissions,permissions->what_information_accessible,ease_of_use,ease_of_use->access_removal,,,,
569,I reviewed everything to ensure it was all necessary.,permissions,permissions->necessary,,,,,,
570,If my privacy would be compromised.,privacy,,,,,,,
574,,,,,,,,,
575,,,,,,,,,
577,Nothing really,nothing,,,,,,,
580,The reputability of the app and the permissions requested.,is_trusted,is_trusted->app,permissions,,,,,
581,,,,,,,,,
582,Whether or not that app was legitimate.,is_trusted,is_trusted->app,,,,,,
583,,,,,,,,,
585,,,,,,,,,
588,Nothing really. I typically use really trusted software so don't have a concern sharing these permissions.,nothing,is_trusted,is_trusted->app,,,,,
589,,,,,,,,,
590,I was concerned about the safety of my info.,security,security->information,,,,,,
591,,,,,,,,,
592,If the site was reputable,is_trusted,is_trusted->website,,,,,,
593,Just the ease of use and how i rather use the google than facebook or apple,ease_of_use,transfer_of_trust,transfer_of_trust->from_google,,,,,
594,,,,,,,,,
595,Nothing,nothing,,,,,,,
598,"I considered that this was probably risky, but I don't store any private information in my email and use a different email for passwords most of the time so it seemed like it was probably okay. I still worry about it a little bit though.",personal_information,personal_information->email,,,,,,
600,I don't recall.,unsure,,,,,,,
,,security,,,,,,,
,,tradeoff,tradeoff->useful,is_trusted,is_trusted->app,,,,
,,ease_of_use,ease_of_use->sign_in_process,,,,,,
