Response ID,fut_features,Code 1,Code 2,Code 3,Code 4,Code 5,Code 6,Code 7,Code 8
110,How often my data was accessed,more_transparency,more_transparency->data_access_logs,,,,,,
112,"Date added, last used",,,,,,,,
113,when permission was given,more_transparency,more_transparency->when_access_authorized,,,,,,
114,when it was last used or accessed,,,,,,,,
115,be able to set a reviewal schedule,notifications,notifications->reminders,notifications->reminders->by_date,,,,,
116,N/A,none,,,,,,,
117,Maybe the date they were originally added.,more_transparency,more_transparency->when_access_authorized,,,,,,
118,,,,,,,,,
120,How and if and when the app used each permission,more_transparency,more_transparency->data_access_logs,,,,,,
121,The ability to revoke permissions/unlink account with one click or uninstall apps.,easier_access_removal,,,,,,,
122,"info on what these permissions mean, even if its a brief description with examples",more_transparency,more_transparency->detailed_permission_explanation,,,,,,
123,Sort them by permissions granted,improved_user_interface,improved_user_interface->sort_apps_by_permission_type,,,,,,
124,"Possibly the ability to add a reminder. Like, ""Remind me 6 months"" to check the list of apps with access to my account.",notifications,notifications->reminders,notifications->reminders->by_date,,,,,
125,Have them listed in order of date added,improved_user_interface,improved_user_interface->order_by_date_authorized,,,,,,
126,I would like access to terms and conditions and an opt out option.,more_transparency,more_transparency->terms_and_conditions,improved_user_interface,improved_user_interface->opt_out_option,,,,
127,Who owns the app as in what company.,more_transparency,more_transparency->company_providing_app,,,,,,
128,None,none,,,,,,,
129,"A ""quick button"" on each one that would allow me to remove permissions without having to select and look at each App.",permission_level_control,permission_level_control->remove_individual_permissions,,,,,,
130,I would have a feature to temporarily grant access.,ability_to_limit_access,ability_to_limit_access->temporarily_allow_app_access,,,,,,
131,"I would like my Google nest to be able to remember more things about me. So my address, phone, birthdays ect.",none,,,,,,,
132,"maybe a color code if they know of issues with certain apps, make them yellow or red with a blurb about issues that are known",improved_user_interface,improved_user_interface->color_code_based_on_level_of_access,more_transparency,more_transparency->misuse_reports,,,,
133,Not sure. I don' tknow enough about it currently.,unsure,,,,,,,
134,Can't think of anything,none,,,,,,,
135,"I would like to add an easy way to set limits on how long an app had access, and perhaps a note that shows the last time you logged into/used the service.",more_transparency,more_transparency->app_usage_log,ability_to_limit_access,ability_to_limit_access->time_limits,,,,
136,N/A,none,,,,,,,
137,transparency what the apps need access for,more_transparency,more_transparency->what_app_needs_to_work,,,,,,
138,it is good the way it is now,none,,,,,,,
139,More security details,more_transparency,more_transparency->information_about_security,,,,,,
140,It would be nice to be reminded to check this say every 3 months or 6 months. Kind of like the password check-up.,notifications,notifications->reminders,notifications->reminders->monthly,,,,,
141,none,none,,,,,,,
143,None,none,,,,,,,
144,"which app accesses your account the most, suggestions on deletions like how they suggest which emails to unsubscribe from in gmail",more_transparency,more_transparency->which_app_accessed_the_most,improved_user_interface,improved_user_interface->deletion_suggestions,,,,
145,I'm content with the features currently available on this page.,none,,,,,,,
146,"I can't think of anything in particular, maybe more personalization?",improved_user_interface,improved_user_interface->personalization,,,,,,
147,none,none,,,,,,,
148,Nothing,none,,,,,,,
149,"Button to easily delete apps from accessing account maybe, although it's not strictly needed.",easier_access_removal,,,,,,,
150,Description of what the app is,improved_user_interface,improved_user_interface->add_app_description_text,,,,,,
151,I wish it would remind me to review it periodically.,notifications,notifications->to_review,,,,,,
152,N/A,none,,,,,,,
153,easy way to click and remove,easier_access_removal,,,,,,,
154,Better explanations,more_transparency,,,,,,,
155,Perhaps a more extensive view that precisely explains what exactly a service or app can see from my account.,more_transparency,more_transparency->what_parts_of_account_accessible,,,,,,
156,n/a,none,,,,,,,
157,Maybe when the apps were last used by the user would be good.,more_transparency,more_transparency->app_usage_log,,,,,,
158,None. Additional features would probably make it harder to use for no benefit.,none,,,,,,,
159,"Nothing really.
 It's all pretty easy to use.",none,,,,,,,
160,Maybe the ability to see when it was added next to the icon.,improved_user_interface,more_transparency,more_transparency->when_access_authorized,,,,,
161,Last time the app was used. And the exact information that it is using. Not just generalization.,more_transparency,more_transparency->what_data_accessible,more_transparency->app_usage_log,,,,,
162,I can't think of any other features I'd need.,none,,,,,,,
163,A feature to remove access for any of these apps you no longer what to have access.,easier_access_removal,,,,,,,
164,Maybe a rating on how sketchy each company is known to handle their info.,more_transparency,more_transparency->misuse_reports,,,,,,
165,"Maybe a list of ""how detailed is the access these apps have"" - there is a large scale of degrees of access and the access one app needs for something isn't the same as another app, but there is only one degree listed; it's binary.",more_transparency,more_transparency->detailed_permission_explanation,,,,,,
166,I would like a feature that allows me to easily remove certain apps from having access to my account.,easier_access_removal,,,,,,,
167,"I think I would want to know exactly what kind of information those third parties have access to. Seeing that they can access all of my ""public information"" doesn't help me remember what information that includes - does it include my full name? Or birthday? Or photographs of me? I just feel a little uneducated about the whole situation, so I'm placing a lot of trust in something I know nothing about.",more_transparency,more_transparency->what_data_accessible,,,,,,
168,maybe a facts widget about privacy,more_transparency,more_transparency->information_about_privacy,,,,,,
169,None,none,,,,,,,
170,none that i can think of.,none,,,,,,,
171,There are none that I can think of.,none,,,,,,,
172,"I'm not sure if it has it or not, but the ability to remove certain accesses that I don't think the app needs.",permission_level_control,permission_level_control->remove_individual_permissions,,,,,,
173,Approve permissions every X amount of days,require_reauthorization,require_reauthorization->period_of_time,,,,,,
174,An easy way to remove access to my account.,easier_access_removal,,,,,,,
175,more information about how to tell if an app is trustworthy and why they need the personal info they collect,more_transparency,more_transparency->what_app_needs_to_work,more_transparency->misuse_reports,,,,,
176,Can't think of any necessary features.,none,,,,,,,
178,n/a,none,,,,,,,
179,"Nothing, I like that it's simple and not cluttered. It has everything it needs in my opinion",none,,,,,,,
180,Explanations provided by the services as to why they need the specific permissions they do.,more_transparency,more_transparency->detailed_permission_explanation,,,,,,
181,I think a history of when and what data was accessed would be nice.,more_transparency,more_transparency->app_usage_log,more_transparency->what_data_accessible,,,,,
182,Just saying information about what apps have access to what or whenever I last used it.,more_transparency,more_transparency->app_usage_log,more_transparency->what_data_accessible,,,,,
183,I would like to know when was the last time I accessed the app,more_transparency,more_transparency->app_usage_log,,,,,,
184,The ability to remove access right from this page,easier_access_removal,,,,,,,
185,none,none,,,,,,,
186,Auto removal of apps after 3 months of no use.,require_reauthorization,require_reauthorization->unused_apps,require_reauthorization->unused_apps->3_months,,,,,
187,None.,none,,,,,,,
188,nothing.,none,,,,,,,
189,not sure,none,,,,,,,
190,The last time you used an app or service.,more_transparency,more_transparency->app_usage_log,,,,,,
191,how they use the data,more_transparency,more_transparency->how_data_used,,,,,,
192,none,none,,,,,,,
193,What type of access these apps have to my account i.e. can they see my browsing history,more_transparency,more_transparency->detailed_permission_explanation,,,,,,
194,I want to see descriptions of what it does on my gmail account,more_transparency,more_transparency->detailed_permission_explanation,,,,,,
195,Maybe a brief justification for the permissions each service uses.,more_transparency,more_transparency->detailed_permission_explanation,,,,,,
196,I would like to see an easy button for removal of some of these apps if I do not wish for them to be associated with my account anymore.,easier_access_removal,,,,,,,
197,none,none,,,,,,,
198,Maybe a last used date when you last used the app and a little notification that it hasnt been used in 1-5 months and that it's probably time to delete it.,notifications,notifications->unused_apps,more_transparency,more_transparency->app_usage_log,,,,
199,N/A,none,,,,,,,
200,"I would like it if the details about which permissions are granted for access were readily viewable and more extensively insightful, rather than viewable only when clicked.",more_transparency,more_transparency->detailed_permission_explanation,,,,,,
201,none,none,,,,,,,
202,I cannot think of any.,none,,,,,,,
203,None,none,,,,,,,
204,I do not want any new features.,none,,,,,,,
205,"DETAILED information about what is available to third party apps. not just ""access to your personal information"" but ""access to: your full name, age, date of birth, street address, ""...etc",more_transparency,more_transparency->detailed_permission_explanation,,,,,,
206,itt might be nice to know the date when permission was given,more_transparency,more_transparency->when_access_authorized,,,,,,
207,A button to automatically deny access to apps.,easier_access_removal,,,,,,,
208,Not sure if it's there but it would be beneficial for a way to remove them; have yearly certifications required for these apps to remain there.,require_reauthorization,require_reauthorization->yearly,,,,,,
209,None,none,,,,,,,
210,maybe how often that app has been used to see if it's really necessary for them to have my info. if i use them requently then fine but wayfair i only ever used once and forgot about it. same with kinedu,more_transparency,more_transparency->app_usage_log,,,,,,
211,"Maybe slightly clarify the readability for those who aren't computer savvy. Mostly, I'd like to see a button on my gmail specifically that I could click to take me directly to the review page, so I could review periodically. (I forget that there are places I need to go in settings to find stuff.)",notifications,notifications->email,improved_user_interface,improved_user_interface->easier_to_access_page,,,,
212,"Being able to sort by the type of access so if I wanted to change certain access across multiple apps, it would be easier.",improved_user_interface,improved_user_interface->sort_apps_by_permission_type,,,,,,
213,none.,none,,,,,,,
214,I can't think of anything to add,none,,,,,,,
216,I would like a button that limits apps to just the minimal use necessary to run the app.,ability_to_limit_access,ability_to_limit_access->minimum_necessary,,,,,,
218,Not sure,none,,,,,,,
219,I wish that it knew that these things had been uninstalled from my phone and that it stated that somewhere. I wish it reminded me to remove their access when I uninstalled too.,notifications,notifications->remove_access_after_app_removed,,,,,,
220,It would be helpful to see when each application was downloaded,more_transparency,more_transparency->when_access_authorized,,,,,,
221,none,none,,,,,,,
222,"Honestly everything about this feature seems fine to me, I cannot really think of any added features to benefit users.",none,,,,,,,
223,n/a,none,,,,,,,
224,A more detailed description of how these apps are going to use the permissions I have granted.,more_transparency,more_transparency->detailed_permission_explanation,,,,,,
225,An easier way to access this information within my Google settings.,improved_user_interface,improved_user_interface->easier_to_access_page,,,,,,
226,I'm not sure at the moment.,unsure,,,,,,,
227,I would like them to share any news/data breaches within the apps as well and notify me if my account has been affected.,more_transparency,more_transparency->misuse_reports,notifications,notifications->data_breach,,,,
228,None,none,,,,,,,
229,None that I can think of,none,,,,,,,
230,I'm actually pretty satisfied with the information available on this page.,none,,,,,,,
231,"A direct, easy way to adjust what information is shared.",ability_to_secure_data,ability_to_secure_data->limit_what_data_can_be_accessed,,,,,,
232,n/a,none,,,,,,,
233,None,none,,,,,,,
234,Not sure,none,,,,,,,
235,"Maybe this is a feature and I missed it but, I would like to revoke specific access like not allowing drive but allowing google play.",permission_level_control,permission_level_control->remove_individual_permissions,,,,,,
236,"Paid site information, verify my information is safe",ability_to_secure_data,,,,,,,
237,How to remove my information from said apps.,more_transparency,more_transparency->how_to_remove_information,,,,,,
238,None.,none,,,,,,,
239,Nothing.,none,,,,,,,
240,not sure,none,,,,,,,
241,An easy way to remove access. Kind of like a kill-switch.,easier_access_removal,,,,,,,
242,It would be cool if you could just give access to certain things and not others. Like turn off contacts and leave email on.,permission_level_control,permission_level_control->remove_individual_permissions,,,,,,
243,I cannot think of any,none,,,,,,,
244,Maybe a time/date that they were given access.,more_transparency,more_transparency->when_access_authorized,,,,,,
245,alerts,notifications,notifications->upon_changes,,,,,,
246,dont care about this,none,,,,,,,
247,Comments from other users if they have concerns about how the app is using their information,user_reviews,,,,,,,
248,Explanations of the more vague permissions,more_transparency,more_transparency->detailed_permission_explanation,,,,,,
