Response ID,describe_concern_oldest_app,Code 1,Code 2,Code 3,Code 4,Code 5,Code 6,Code 7,Code 8
97,"I generally dislike anyone, including Google, having so much access to my information.",,,,,,,,
98,"I would like to know why PlayStation Network needs to see my primary email address or needs to see my personal information. For example, if I enter a credit card, PlayStation Network can see it and I'm not sure if that's safe.",,,,,,,,
99,I have none as the permissions it has are what I use IFTTT for.,,,,,,,,
100,,,,,,,,,
101,I'm slightly concerned about the data profile Samsung may be building on me. But I have many Samsung devices and understand that unifying the data may be a benefit to my experience.,,,,,,,,
102,,,,,,,,,
103,,,,,,,,,
104,will i be able to delete my information permanently off here.,,,,,,,,
105,Don't have any concerns,,,,,,,,
106,dont use this app so dont need it,,,,,,,,
107,"None, I believe that for Route to work properly and help me as much as it does it is necessary for it to have access to my e-mails. I don't know what it needs my publicly available info for, but I made it publicly available so I'm not concerned.",,,,,,,,
108,I could care less.,,,,,,,,
109,"There is potential for my info to be used improperly, especially if Route is hacked.",,,,,,,,
110,,,,,,,,,
112,,,,,,,,,
113,,,,,,,,,
114,,,,,,,,,
115,Google needs to access youtube so the only concern would be someone having access to my youtube viewing or rentals.,,,,,,,,
116,,,,,,,,,
117,,,,,,,,,
118,I think that they have asked for more information than they need for the app to run and what are they doing with that information?,,,,,,,,
120,Really don't worry that much and its low risk if something does happen,,,,,,,,
121,"I don't remember authorizing it, and I really don't think Quora should have access to my contacts for any reason.",,,,,,,,
122,"I only needed canvas to have these permissions to upload assignments, but school just finished up for me, so at the moment I don't need it. I don't have any concerns with Canvas having these permissions",,,,,,,,
123,I have no concerns because these are necessary in order to provide me with full use of my Mac,,,,,,,,
124,,,,,,,,,
125,,,,,,,,,
126,I'm afraid a data leak might happen and other people outside of Windows might get their hands on my info.,,,,,,,,
127,I have a concern they will track my data from this app and sell services and ads based on it. I'm concerned they monitor my activity on it.,,,,,,,,
128,I do not like that they can compose and delete my emails.,,,,,,,,
129,,,,,,,,,
130,,,,,,,,,
131,"Why would they have access to my computer at all. I don't understand how they can delete my files, or put more information on my computer then I asked for. I really can't believe they can see my google drive files. There are things in there that are for me or my family.",,,,,,,,
132,i guess cause i dont recall putting it on or using it. and the fact they can delete my contacts.,,,,,,,,
133,I really don't have any concerns.,,,,,,,,
134,"Seems weird that they have the ability to delete so much, why do they need that ability?",,,,,,,,
135,"I have concerns about macOS viewing anything I write, but I think it is essential because it is the main operating system I use. Personally, I don't have much sensitive information on my accounts, so the convenience outweighs the costs that could happen with privacy issues.",,,,,,,,
136,I'm unsure what my data is being used for and who it's being sent to,,,,,,,,
137,,,,,,,,,
138,none,,,,,,,,
139,i do not have any concern no matter how little.,,,,,,,,
140,"It would help to know why certain permissions are required, but I don't have any huge concerns. We have to allow access or the app won't work, the consumer doesn't have a choice.",,,,,,,,
141,none,,,,,,,,
143,I don't like knowing Yahoo can delete all of my files.,,,,,,,,
144,"im just surprised that its been on my account for so long and i didnt even realize it. i dont do much on youtube so i dont know how much it has truly affected my account, however, it is a little concerning they could do something if they wished. im not sure how far the access can go",,,,,,,,
145,,,,,,,,,
146,,,,,,,,,
147,That maybe it has access to something it shouldnt,,,,,,,,
148,,,,,,,,,
149,It doesn't need to compose or delete emails really. This could affect me quite a bit if Unroll.me decided to exercise the permissions.,,,,,,,,
150,,,,,,,,,
151,,,,,,,,,
152,,,,,,,,,
153,no concerns,,,,,,,,
154,None,,,,,,,,
155,"I am only concerned about the very slight possibility that this app will try to access other parts of my account without notifying me beforehand. However, that chance is extremely slim.",,,,,,,,
156,"Just having the information out there is mildly concerning, you don't know who has access to it.",,,,,,,,
157,"Although Shop can be quite handy, being able to edit settings in your email and seeing all of my messages can be quite worrying.",,,,,,,,
158,I am not sure why they would need my contacts.,,,,,,,,
159,,,,,,,,,
160,,,,,,,,,
161,I'm not sure why it needs to know my basic account info. It is a game and it shouldn't care about my Google account email address. And It has been since 2019...so I don't even remember the installation.,,,,,,,,
162,"I don't know why they would need to send emails but I think it might be so that I can refer other people to the site. Regardless, they shouldn't have the right to read my emails.",,,,,,,,
163,,,,,,,,,
164,"None, I trust JBL.",,,,,,,,
165,I am concerned the app will delete or edit files it should not be touching rather than just documents it is supposed to be interacting with.,,,,,,,,
166,I don't use eM Client for my Calendar tasks so I am a bit concerned that it has access to it. But I understand why that is because I could use eM Client for my Calendar taks even though I don't use it at this time. It does have to have access to the rest listed above and I am not concerned about those.,,,,,,,,
167,,,,,,,,,
168,,,,,,,,,
169,It might remove documents I don't want removed.,,,,,,,,
170,no concerns. it just needs to be able to adjust things,,,,,,,,
171,I don't have any concerns about Quora holding these permissions because the things make Quora easier for me to use and I trust Quora.,,,,,,,,
172,,,,,,,,,
173,None,,,,,,,,
174,They can act like they are me and send emails from my account. Sounds very unsecure.,,,,,,,,
175,"I wonder what personal info dropbox has exactly, and why they need it",,,,,,,,
176,,,,,,,,,
178,"i dont have concerns, its a game ive played for years, google play allows me to keep my play history and track achievements so i dont have to deal with transferring save data when i get a new phone",,,,,,,,
179,,,,,,,,,
180,"If the company gets hacked, someone can possibly delete my events and calendar settings.",,,,,,,,
181,"It's a little weird that it can delete Play Games activity, and it's not clear if it's restricted to just this one game.",,,,,,,,
182,"I remember that whenever someone sent me an image or gif it would automatically save it onto my phone, so I'm a bit concerned about it.",,,,,,,,
183,,,,,,,,,
184,I am not sure why they need to manage my YouTube account or videos and I am concerned what they are actually accessing and managing.,,,,,,,,
185,,,,,,,,,
186,,,,,,,,,
187,I wonder why in the world Zoom would care about seeing my contacts and wanting to edit or even permanently delete them.,,,,,,,,
188,I don't know how it got the permissions to do this in the first place. Plus I don't want any unnecessary parties to have access to my information.,,,,,,,,
189,,,,,,,,,
190,I no longer use the service and it seems like the app has access to more permission then I though based on the description given.,,,,,,,,
191,,,,,,,,,
192,,,,,,,,,
193,,,,,,,,,
194,,,,,,,,,
195,"It should only have access to documents I use their service on, because I don't have a bibliography on every document in my Drive.",,,,,,,,
196,"I do not know if the company can ever delete something I do not authorize, or use the personal info I have to sell to other places.",,,,,,,,
197,i dont have any i just forgot i had it,,,,,,,,
198,"Worried that it might delete some of my info on a doc im working on when I use it, but honestly not a big deal.",,,,,,,,
199,,,,,,,,,
200,I'm a bit concerned about the extent in which they have the ability to access my extensions.,,,,,,,,
201,security and privacy related to personal information,,,,,,,,
202,I don't have any concerns about it. I'd simply like to remove it because I don't use the app anymore.,,,,,,,,
203,"I am just concerned that they might steal my money, it's a huge risk.",,,,,,,,
204,About exactly what personal info it's using,,,,,,,,
205,,,,,,,,,
206,"I don't have concerns about google, which is why I gave them access",,,,,,,,
207,,,,,,,,,
208,I have a general idea of what they do with the information; my biggest concern is should they choose to monetize it for their own profit without my approval (i.e. sell to third-party advertisers).,,,,,,,,
209,No concerns,,,,,,,,
210,why and compose emails? like without asking me 1st? that's not ok at all especially for an app i don't remember giving permission to,,,,,,,,
211,"I made a deliberate choice to log in Xodo using my Google account, instead of continuing to use it without logging in. I trust it. My biggest concern might be their own security, and whether someone else could use their access to my account in a bad light.",,,,,,,,
212,I don't really have any concerns besides the potential of selling my personal information.,,,,,,,,
213,My main concern is that of the privacy of my contacts and emails of others that I have stored within Dropbox or Google.,,,,,,,,
214,I'm not sure what other personal info it has access to; this doesn't seem necessary for the game to function,,,,,,,,
216,I am concerned that it can see and download ALL of my files.,,,,,,,,
218,My only concern is if it shares my files with others.,,,,,,,,
219,"I don't really trust them as a company, however, I had gotten my account hacked and so that was part of why I ended up linking it. I wanted to be able to resecure my account and linking it this way was one way to ensure it couldn't get hacked again.",,,,,,,,
220,My primary concern is that my privacy and information may be leaked to other third-parties that may use my information to send me ads or unwanted information (spam mail).,,,,,,,,
221,dropbox has held my personal photos. I hope these are always private. Dropbox shouldnt have access to my friends' email addresses and phone numbers and dates of birth and all the info i keep in personal contacts,,,,,,,,
222,"I don't have any real concerns about Mailbird having access to this information, I know why they need the information and the app was very transparent about needing my permission to access this information. The only slight concern I would have is if the app had some sort of error or bug happen that would delete something that I did not request, however I have confidence in this app that this would be a very rare occurrence.",,,,,,,,
223,,,,,,,,,
224,"The only thing I'm concerned really about is the access to Google Drive. I mainly use this as an email tracker, so I don't understand why they need access to my files.",,,,,,,,
225,"I don't have a major concern, but may restrict Amazon's access to my Gmail account in the future for general safety reasons.",,,,,,,,
226,"I'm concerned Zoom might accidentally delete or include meetings on my schedule without my knowing. Other than that, I'm not very concerned having Zoom on my account. Having Zoom on my account is quite helpful and makes my life easier.",,,,,,,,
227,I am just concerned that they may sell my information to other companies.,,,,,,,,
228,,,,,,,,,
229,,,,,,,,,
230,,,,,,,,,
231,"It's a shopping tool app, and does require access to my email. I don't think I recall the ""delete all your email from Gmail"" though, so now I'm going to look into that.",,,,,,,,
232,I am not concerned with Clash Royale's single permission.,,,,,,,,
233,I do not have any concerns.,,,,,,,,
234,,,,,,,,,
235,Why would they need access to drive? The app doesn't even use drive.,,,,,,,,
236,,,,,,,,,
237,,,,,,,,,
238,"The control they have over contacts and the different thing they can do with contacts is concerning. Seeing contacts is actually really nice because then it helps you find connections and I would guess that's all they use that access for (and maybe to advertise to contacts) but still it seems like they wouldn't need anything more than the ability to see contacts.
 Personal info isn't too concerning, this seems pretty typical, but still surprising how easily LinkedIn can access it.",,,,,,,,
239,Its a uneasy feeling knowing that these permissions could be exploited. Its similar to strangers having access to your house and your not there.,,,,,,,,
240,,,,,,,,,
241,,,,,,,,,
242,,,,,,,,,
243,I don't have any concerns - we actually pay wordstream to manage it,,,,,,,,
244,,,,,,,,,
245,Not much in way of concerns other than contacts,,,,,,,,
246,i have no concerns,,,,,,,,
247,,,,,,,,,
248,I don't understand what they're doing with my Google Drive and I don't want them accessing my information in Drive. I don't know why a game would need to access Drive.,,,,,,,,
