Response ID,fut_features,Code 1,Code 2,Code 3,Code 4,Code 5,Code 6,Code 7,Code 8
89,"I would like to see the last time one of these permissions was used. (i.e a ""Last used x days ago"" or ""[app] performed [activity that requires permission] x days ago"").",,,,,,,,
90,don't know,,,,,,,,
91,Probably none,,,,,,,,
92,I can't really think of any features I would want added. All the information I can think I'd want is there already.,,,,,,,,
93,I don't know.,,,,,,,,
94,An option to have even more detail of what was exactly being accessed.,,,,,,,,
95,none,,,,,,,,
96,not sure at the moment,,,,,,,,
97,a listing of when access was given and when it was last used,,,,,,,,
98,None,,,,,,,,
99,"Being able to remove permissions from the list or to have more detail about what each permission needs, like to access pictures--why?",,,,,,,,
100,I don't look at the page enough to have any meaningful suggestions,,,,,,,,
101,Can't really think of any at the moment.,,,,,,,,
102,Push notifications if something changes.,,,,,,,,
103,Possibly highlight certain Apps or services that are known to cause issues.,,,,,,,,
104,N/A.,,,,,,,,
105,Edit button to change preferences directly,,,,,,,,
106,none,,,,,,,,
107,"I can't think of any right now. Maybe how they got access, more specific than ""you gave it to them"". A couple of these I know I used their website but don't remember giving them access to anything.",,,,,,,,
108,"I don't see myself ever visiting the page again, so I think it's fine as is.",,,,,,,,
109,Ways to alter what permissions have been given.,,,,,,,,
110,How often my data was accessed,,,,,,,,
112,"Date added, last used",,,,,,,,
113,when permission was given,,,,,,,,
114,when it was last used or accessed,,,,,,,,
115,be able to set a reviewal schedule,,,,,,,,
116,N/A,,,,,,,,
117,Maybe the date they were originally added.,,,,,,,,
118,,,,,,,,,
120,How and if and when the app used each permission,,,,,,,,
121,The ability to revoke permissions/unlink account with one click or uninstall apps.,,,,,,,,
122,"info on what these permissions mean, even if its a brief description with examples",,,,,,,,
123,Sort them by permissions granted,,,,,,,,
124,"Possibly the ability to add a reminder. Like, ""Remind me 6 months"" to check the list of apps with access to my account.",,,,,,,,
125,Have them listed in order of date added,,,,,,,,
126,I would like access to terms and conditions and an opt out option.,,,,,,,,
127,Who owns the app as in what company.,,,,,,,,
128,None,,,,,,,,
129,"A ""quick button"" on each one that would allow me to remove permissions without having to select and look at each App.",,,,,,,,
130,I would have a feature to temporarily grant access.,,,,,,,,
131,"I would like my Google nest to be able to remember more things about me. So my address, phone, birthdays ect.",,,,,,,,
132,"maybe a color code if they know of issues with certain apps, make them yellow or red with a blurb about issues that are known",,,,,,,,
133,Not sure. I don' tknow enough about it currently.,,,,,,,,
134,Can't think of anything,,,,,,,,
135,"I would like to add an easy way to set limits on how long an app had access, and perhaps a note that shows the last time you logged into/used the service.",,,,,,,,
136,N/A,,,,,,,,
137,transparency what the apps need access for,,,,,,,,
138,it is good the way it is now,,,,,,,,
139,More security details,,,,,,,,
140,It would be nice to be reminded to check this say every 3 months or 6 months. Kind of like the password check-up.,,,,,,,,
141,none,,,,,,,,
143,None,,,,,,,,
144,"which app accesses your account the most, suggestions on deletions like how they suggest which emails to unsubscribe from in gmail",,,,,,,,
145,I'm content with the features currently available on this page.,,,,,,,,
146,"I can't think of anything in particular, maybe more personalization?",,,,,,,,
147,none,,,,,,,,
148,Nothing,,,,,,,,
149,"Button to easily delete apps from accessing account maybe, although it's not strictly needed.",,,,,,,,
150,Description of what the app is,,,,,,,,
151,I wish it would remind me to review it periodically.,,,,,,,,
152,N/A,,,,,,,,
153,easy way to click and remove,,,,,,,,
154,Better explanations,,,,,,,,
155,Perhaps a more extensive view that precisely explains what exactly a service or app can see from my account.,,,,,,,,
156,n/a,,,,,,,,
157,Maybe when the apps were last used by the user would be good.,,,,,,,,
158,None. Additional features would probably make it harder to use for no benefit.,,,,,,,,
159,"Nothing really.
 It's all pretty easy to use.",,,,,,,,
160,Maybe the ability to see when it was added next to the icon.,,,,,,,,
161,Last time the app was used. And the exact information that it is using. Not just generalization.,,,,,,,,
162,I can't think of any other features I'd need.,,,,,,,,
163,A feature to remove access for any of these apps you no longer what to have access.,,,,,,,,
164,Maybe a rating on how sketchy each company is known to handle their info.,,,,,,,,
165,"Maybe a list of ""how detailed is the access these apps have"" - there is a large scale of degrees of access and the access one app needs for something isn't the same as another app, but there is only one degree listed; it's binary.",,,,,,,,
166,I would like a feature that allows me to easily remove certain apps from having access to my account.,,,,,,,,
167,"I think I would want to know exactly what kind of information those third parties have access to. Seeing that they can access all of my ""public information"" doesn't help me remember what information that includes - does it include my full name? Or birthday? Or photographs of me? I just feel a little uneducated about the whole situation, so I'm placing a lot of trust in something I know nothing about.",,,,,,,,
168,maybe a facts widget about privacy,,,,,,,,
169,None,,,,,,,,
170,none that i can think of.,,,,,,,,
171,There are none that I can think of.,,,,,,,,
172,"I'm not sure if it has it or not, but the ability to remove certain accesses that I don't think the app needs.",,,,,,,,
173,Approve permissions every X amount of days,,,,,,,,
174,An easy way to remove access to my account.,,,,,,,,
175,more information about how to tell if an app is trustworthy and why they need the personal info they collect,,,,,,,,
176,Can't think of any necessary features.,,,,,,,,
178,n/a,,,,,,,,
179,"Nothing, I like that it's simple and not cluttered. It has everything it needs in my opinion",,,,,,,,
180,Explanations provided by the services as to why they need the specific permissions they do.,,,,,,,,
181,I think a history of when and what data was accessed would be nice.,,,,,,,,
182,Just saying information about what apps have access to what or whenever I last used it.,,,,,,,,
183,I would like to know when was the last time I accessed the app,,,,,,,,
184,The ability to remove access right from this page,,,,,,,,
185,none,,,,,,,,
186,Auto removal of apps after 3 months of no use.,,,,,,,,
187,None.,,,,,,,,
188,nothing.,,,,,,,,
189,not sure,,,,,,,,
190,The last time you used an app or service.,,,,,,,,
191,how they use the data,,,,,,,,
192,none,,,,,,,,
193,What type of access these apps have to my account i.e. can they see my browsing history,,,,,,,,
194,I want to see descriptions of what it does on my gmail account,,,,,,,,
195,Maybe a brief justification for the permissions each service uses.,,,,,,,,
196,I would like to see an easy button for removal of some of these apps if I do not wish for them to be associated with my account anymore.,,,,,,,,
197,none,,,,,,,,
198,Maybe a last used date when you last used the app and a little notification that it hasnt been used in 1-5 months and that it's probably time to delete it.,,,,,,,,
199,N/A,,,,,,,,
200,"I would like it if the details about which permissions are granted for access were readily viewable and more extensively insightful, rather than viewable only when clicked.",,,,,,,,
201,none,,,,,,,,
202,I cannot think of any.,,,,,,,,
203,None,,,,,,,,
204,I do not want any new features.,,,,,,,,
205,"DETAILED information about what is available to third party apps. not just ""access to your personal information"" but ""access to: your full name, age, date of birth, street address, ""...etc",,,,,,,,
206,itt might be nice to know the date when permission was given,,,,,,,,
207,A button to automatically deny access to apps.,,,,,,,,
208,Not sure if it's there but it would be beneficial for a way to remove them; have yearly certifications required for these apps to remain there.,,,,,,,,
209,None,,,,,,,,
210,maybe how often that app has been used to see if it's really necessary for them to have my info. if i use them requently then fine but wayfair i only ever used once and forgot about it. same with kinedu,,,,,,,,
211,"Maybe slightly clarify the readability for those who aren't computer savvy. Mostly, I'd like to see a button on my gmail specifically that I could click to take me directly to the review page, so I could review periodically. (I forget that there are places I need to go in settings to find stuff.)",,,,,,,,
212,"Being able to sort by the type of access so if I wanted to change certain access across multiple apps, it would be easier.",,,,,,,,
213,none.,,,,,,,,
214,I can't think of anything to add,,,,,,,,
216,I would like a button that limits apps to just the minimal use necessary to run the app.,,,,,,,,
218,Not sure,,,,,,,,
219,I wish that it knew that these things had been uninstalled from my phone and that it stated that somewhere. I wish it reminded me to remove their access when I uninstalled too.,,,,,,,,
220,It would be helpful to see when each application was downloaded,,,,,,,,
221,none,,,,,,,,
222,"Honestly everything about this feature seems fine to me, I cannot really think of any added features to benefit users.",,,,,,,,
223,n/a,,,,,,,,
224,A more detailed description of how these apps are going to use the permissions I have granted.,,,,,,,,
225,An easier way to access this information within my Google settings.,,,,,,,,
226,I'm not sure at the moment.,,,,,,,,
227,I would like them to share any news/data breaches within the apps as well and notify me if my account has been affected.,,,,,,,,
228,None,,,,,,,,
229,None that I can think of,,,,,,,,
230,I'm actually pretty satisfied with the information available on this page.,,,,,,,,
231,"A direct, easy way to adjust what information is shared.",,,,,,,,
232,n/a,,,,,,,,
233,None,,,,,,,,
234,Not sure,,,,,,,,
235,"Maybe this is a feature and I missed it but, I would like to revoke specific access like not allowing drive but allowing google play.",,,,,,,,
236,"Paid site information, verify my information is safe",,,,,,,,
237,How to remove my information from said apps.,,,,,,,,
238,None.,,,,,,,,
239,Nothing.,,,,,,,,
240,not sure,,,,,,,,
241,An easy way to remove access. Kind of like a kill-switch.,,,,,,,,
242,It would be cool if you could just give access to certain things and not others. Like turn off contacts and leave email on.,,,,,,,,
243,I cannot think of any,,,,,,,,
244,Maybe a time/date that they were given access.,,,,,,,,
245,alerts,,,,,,,,
246,dont care about this,,,,,,,,
247,Comments from other users if they have concerns about how the app is using their information,,,,,,,,
248,Explanations of the more vague permissions,,,,,,,,
